Aestred Thurga and Agathae Dolan: Aestred Thurga                       || 32mm
Aestred Thurga and Agathae Dolan: Agathae Dolan                        || 25mm
Arco-flagellants                                                       || 25mm
Battle Sisters Squad                                                   || 32mm
Canoness                                                               || 32mm
Canoness with Jump Pack                                                || 32mm
Castigator                                                             || Hull
Celestian Sacresants                                                   || 32mm
Daemonifuge                                                            || 32mm
Dialogus                                                               || 40mm
Dogmata                                                                || 32mm
Dominion Squad                                                         || 32mm
Exorcist                                                               || Hull
Hospitaller                                                            || 50mm
Imagifier                                                              || 32mm
Immolator                                                              || Hull
Junith Eruita                                                          || 50mm
Ministorum Priest                                                      || 32mm
Mortifiers                                                             || 50mm
Morvenn Vahl                                                           || 60mm
Palatine                                                               || 32mm
Paragon Warsuits                                                       || 50mm
Penitent Engines                                                       || 50mm
Repentia Squad: Repentia Superior                                      || 32mm
Repentia Squad: Sister Repentia                                        || 28.5mm
Retributor Squad                                                       || 32mm
Saint Celestine                                                        || 40mm
Saint Celestine: Geminae Superia                                       || 32mm
Sanctifiers                                                            || 25mm
Seraphim Squad                                                         || 32mm
Sisters Novitiate Squad: Novitiate Superior                            || 32mm
Sisters Novitiate Squad: Sister Novitiate                              || 28.5mm
Sororitas Rhino                                                        || Hull
Triumph of Saint Katherine                                             || 120x92mm Oval Base
Zephyrim Squad                                                         || 32mm
