Aleya                                                                  || 32mm
Allarus Custodians                                                     || 40mm
Anathema Psykana Rhino                                                 || Hull
Blade Champion                                                         || 40mm
Custodian Guard                                                        || 40mm
Custodian Wardens                                                      || 40mm
Knight-Centura                                                         || 32mm
Prosecutors                                                            || 32mm
Shield-Captain                                                         || 40mm
Shield-Captain in Allarus Terminator Armour                            || 40mm
Shield-Captain on Dawneagle Jetbike                                    || 75x42mm Oval Base
Trajann Valoris                                                        || 40mm
Valerian                                                               || 40mm
Venerable Contemptor Dreadnought                                       || 60mm
Venerable Land Raider                                                  || Hull
Vertus Praetors                                                        || 75x42mm Oval Base
Vigilators                                                             || 32mm
Witchseekers                                                           || 32mm
