Archaeopter Fusilave                                                   || 170x109mm Oval Base
Archaeopter Stratoraptor                                               || 170x109mm Oval Base
Archaeopter Transvector                                                || 170x109mm Oval Base
Belisarius Cawl                                                        || 105x70mm Oval Base
Corpuscarii Electro-Priests                                            || 32mm
Cybernetica Datasmith                                                  || 32mm
Fulgurite Electro-Priests                                              || 32mm
Ironstrider Ballistarii                                                || 105x70mm Oval Base
Kastelan Robots                                                        || 60mm
Kataphron Breachers                                                    || 60mm
Kataphron Destroyers                                                   || 60mm
Onager Dunecrawler                                                     || 130mm
Pteraxii Skystalkers                                                   || 40mm
Pteraxii Sterylizors                                                   || 40mm
Serberys Raiders                                                       || 60x35.5mm Oval Base
Serberys Sulphurhounds                                                 || 60x35.5mm Oval Base
Sicarian Infiltrators                                                  || 40mm
Sicarian Ruststalkers                                                  || 40mm
Skitarii Marshal                                                       || 32mm
Skitarii Rangers                                                       || 25mm
Skitarii Rangers/Skitarii Vanguard: Transuranic Arquebus               || 60x35.5mm Oval Base
Skitarii Vanguard                                                      || 25mm
Skorpius Disintegrator                                                 || Hull
Skorpius Dunerider                                                     || Hull
Sydonian Dragoons with Radium Jezzails                                 || 105x70mm Oval Base
Sydonian Dragoons with Taser Lances                                    || 105x70mm Oval Base
Sydonian Skatros                                                       || 40mm
Tech-Priest Dominus                                                    || 50mm
Tech-Priest Enginseer                                                  || 32mm
Tech-Priest Manipulus                                                  || 50mm
Technoarcheologist                                                     || 32mm
