Asurmen                                                                || 40mm
Autarch                                                                || 32mm
Autarch wayleaper                                                      || 32mm
Avatar of Khaine                                                       || 80mm
Baharroth                                                              || 40mm
Corsair Voidreavers                                                    || 28.5mm
Corsair Voidscarred                                                    || 28.5mm
Crimson Hunter                                                         || 120x92mm Oval Base
D-cannon Platform                                                      || 40mm
Dark Reapers                                                           || 28.5mm
Death Jester                                                           || 25mm
Dire Avengers                                                          || 28.5mm
Eldrad Ulthran                                                         || 32mm
Falcon                                                                 || Large Flying Base
Farseer                                                                || 25mm
Farseer Skyrunner                                                      || Small Flying Base
Fire Dragons                                                           || 28.5mm
Fire Prism                                                             || Large Flying Base
Fuegan                                                                 || 40mm
Guardian Defenders                                                     || 28.5mm
Guardian Defenders: Heavy Weapon Platform                              || 40mm
Hemlock Wraithfighter                                                  || 120x92mm Oval Base
Howling Banshees                                                       || 28.5mm
Jain Zar                                                               || 40mm
Lhykhis                                                                || 40mm
Maugan Ra                                                              || 40mm
Night Spinner                                                          || Large Flying Base
Rangers                                                                || 28.5mm
Shadow Weaver Platform                                                 || 40mm
Shadowseer                                                             || 25mm
Shining Spears                                                         || Large Flying Base
Shroud Runners                                                         || Large Flying Base
Skyweavers                                                             || Large Flying Base
Solitaire                                                              || 25mm
Spiritseer                                                             || 25mm
Starweaver                                                             || Large Flying Base
Storm Guardians                                                        || 28.5mm
Storm Guardians: Serpent's Scale Platform                              || 40mm
Striking Scorpions                                                     || 28.5mm
Swooping Hawks                                                         || 28.5mm
The Visarch                                                            || 32mm
The Yncarne                                                            || 80mm
Troupe                                                                 || 25mm
Troupe Master                                                          || 25mm
Vibro Cannon Platform                                                  || 40mm
Voidweaver                                                             || Large Flying Base
Vyper                                                                  || Large Flying Base
War Walker                                                             || 60mm
Warlock                                                                || 32mm
Warlock Conclave                                                       || 32mm
Warlock Skyrunners                                                     || Small Flying Base
Warp Spiders                                                           || 28.5mm
Wave Serpent                                                           || Large Flying Base
Windriders                                                             || Small Flying Base
Wraithblades                                                           || 40mm
Wraithguard                                                            || 40mm
Wraithknight                                                           || 120x92mm Oval Base
Wraithknight with Ghostglaive                                          || 120x92mm Oval Base
Wraithlord                                                             || 60mm
Ynnari Archon                                                          || 25mm
Ynnari Incubi                                                          || 28.5mm
Ynnari Kabalite Warriors                                               || 25mm
Ynnari Raider                                                          || Large Flying Base
Ynnari Reavers                                                         || Small Flying Base
Ynnari Succubus                                                        || 25mm
Ynnari Venom                                                           || Large Flying Base
Ynnari Wyches                                                          || 25mm
Yvraine                                                                || 75x42mm Oval Base
