Aegis Defence Line                                                     || Hull
Armoured Sentinels                                                     || 80mm
Artillery Team                                                         || 130mm
Attilan Rough Riders                                                   || 60x35.5mm Oval Base
Baneblade                                                              || Hull
Banehammer                                                             || Hull
Banesword                                                              || Hull
Basilisk                                                               || Hull
Bullgryn squad                                                         || 40mm
Cadian Castellan                                                       || 28.5mm
Cadian Command Squad                                                   || 28.5mm
Cadian Heavy Weapons Squad                                             || 50mm
Cadian Shock Troops                                                    || 25mm
Catachan Command Squad                                                 || 25mm
Catachan Heavy Weapons Squad                                           || 60mm
Catachan Jungle Fighters                                               || 25mm
Chimera                                                                || Hull
Commissar                                                              || 28.5mm
Death Korps of Krieg                                                   || 25mm
Death Riders                                                           || 60x35.5mm Oval Base
Deathstrike                                                            || Hull
Doomhammer                                                             || Hull
Field Ordnance Battery                                                 || 100mm
Gaunt's Ghosts                                                         || 28.5mm
Hellhammer                                                             || Hull
Hellhound                                                              || Hull
Hydra                                                                  || Hull
Kasrkin                                                                || 28.5mm
Krieg Combat Engineers                                                 || 25mm
Krieg Command Squad                                                    || 25mm
Krieg Command Squad: Lord Commissar                                    || 32mm
Krieg Heavy Weapons Squad                                              || 50mm
Krieg Heavy Weapons Squad: Fire Coordinator                            || 25mm
Leman Russ Battle Tank                                                 || Hull
Leman Russ Commander                                                   || Hull
Leman Russ Demolisher                                                  || Hull
Leman Russ Eradicator                                                  || Hull
Leman Russ Executioner                                                 || Hull
Leman Russ Exterminator                                                || Hull
Leman Russ Punisher                                                    || Hull
Leman Russ Vanquisher                                                  || Hull
Lord Marshal Dreir                                                     || 75x42mm Oval Base
Lord Solar Leontus                                                     || 80mm
Manticore                                                              || Hull
Militarum Tempestus Command Squad                                      || 25mm
Ministorum Priest                                                      || 32mm
Nork Deddog                                                            || 40mm
Ogryn Bodyguard                                                        || 40mm
Ogryn squad                                                            || 40mm
Primaris Psyker                                                        || 32mm
Ratlings                                                               || 25mm
Rogal Dorn Battle Tank                                                 || Hull
Rogal Dorn Commander                                                   || Hull
Scout Sentinels                                                        || 80mm
Shadowsword                                                            || Hull
Sly Marbo                                                              || 32mm
Stormlord                                                              || Hull
Stormsword                                                             || Hull
Taurox                                                                 || Hull
Taurox Prime                                                           || Hull
Tech-Priest Enginseer                                                  || 32mm
Tempestus Aquilons                                                     || 28.5mm
Tempestus Scions                                                       || 25mm
Ursula Creed                                                           || 32mm
Valkyrie                                                               || 120x92mm Oval Base
Wyvern                                                                 || Hull
