Astorath                                                               || 40mm
Baal Predator                                                          || Hull
Blood Angels Captain                                                   || 40mm
Chief Librarian Mephiston                                              || 40mm
Commander Dante                                                        || 50mm
Death Company Captain                                                  || 40mm
Death Company Captain with Jump Pack                                   || 40mm
Death Company Dreadnought                                              || 90mm
Death Company Marines                                                  || 32mm
Death Company Marines with Bolt Rifles                                 || 32mm
Death Company Marines with Jump Packs                                  || 32mm
Lemartes                                                               || 40mm
Sanguinary Guard                                                       || 40mm
Sanguinary Priest                                                      || 40mm
The Sanguinor                                                          || 40mm
