Be'lakor                                                               || 100mm
Beasts of Nurgle                                                       || 60mm
Bloodcrushers                                                          || 90x52.5mm Oval Base
Bloodletters                                                           || 32mm
Bloodmaster                                                            || 40mm
Bloodthirster                                                          || 120x92mm Oval Base
Blue Horrors                                                           || 25mm
Burning Chariot                                                        || 120x92mm Oval Base
Changecaster                                                           || 32mm
Contorted Epitome                                                      || 75x42mm Oval Base
Daemon Prince of Chaos                                                 || 60mm
Daemon Prince of Chaos with Wings                                      || 60mm
Daemonettes                                                            || 25mm
Epidemius                                                              || 60mm
Exalted Flamer                                                         || 75x42mm Oval Base
Fateskimmer                                                            || 120x92mm Oval Base
Feculent Gnarlmaw                                                      || Hull
Fiends                                                                 || 75x42mm Oval Base
Flamers                                                                || 32mm
Flesh Hounds                                                           || 60x35.5mm Oval Base
Fluxmaster                                                             || Large Flying Base
Great Unclean One                                                      || 130mm
Hellflayers                                                            || 120x92mm Oval Base
Horticulous Slimux                                                     || 105x70mm Oval Base
Infernal Enrapturess                                                   || 60x35.5mm Oval Base
Kairos Fateweaver                                                      || 100mm
Karanak                                                                || 75x42mm Oval Base
Keeper of Secrets                                                      || 100mm
Lord of Change                                                         || 100mm
Nurglings                                                              || 40mm
Pink Horrors                                                           || 32mm
Plague Drones                                                          || Large Flying Base
Plaguebearers                                                          || 32mm
Poxbringer                                                             || 32mm
Rendmaster on Blood Throne                                             || 120x92mm Oval Base
Rotigus                                                                || 130mm
Screamers                                                              || Small Flying Base
Seekers                                                                || 60x35.5mm Oval Base
Shalaxi Helbane                                                        || 100mm
Skarbrand                                                              || 100mm
Skull Altar                                                            || Hull
Skull Cannon                                                           || 120x92mm Oval Base
Skullmaster                                                            || 90x52.5mm Oval Base
Skulltaker                                                             || 40mm
Sloppity Bilepiper                                                     || 32mm
Soul Grinder                                                           || 160mm
Spoilpox Scrivener                                                     || 40mm
Syll'esske                                                             || 50mm
The Blue Scribes                                                       || Large Flying Base
The Changeling                                                         || 40mm
The Masque of Slaanesh                                                 || 32mm
Tormentbringer                                                         || 120x92mm Oval Base
Tranceweaver                                                           || 32mm
