Abaddon the Despoiler                                                  || 60mm
Accursed Cultists: Mutant                                              || 25mm
Accursed Cultists: Torment                                             || 40mm
Chaos Bikers                                                           || 75x42mm Oval Base
Chaos Land Raider                                                      || Hull
Chaos Lord                                                             || 40mm
Chaos Lord in Terminator Armour                                        || 40mm
Chaos Lord with Jump Pack                                              || 40mm
Chaos Predator Annihilator                                             || Hull
Chaos Predator Destructor                                              || Hull
Chaos Rhino                                                            || Hull
Chaos Spawn                                                            || 50mm
Chaos Terminator Squad                                                 || 40mm
Chaos Vindicator                                                       || Hull
Chosen                                                                 || 32mm
Cultist Firebrand                                                      || 32mm
Cultist Mob                                                            || 25mm
Cypher                                                                 || 32mm
Dark Apostle                                                           || 40mm
Dark Apostle: Dark Disciple                                            || 25mm
Dark Commune: Blessed Blade                                            || 28.5mm
Dark Commune: Cult Demagogue, Mindwitch, Iconarch                      || 32mm
Defiler                                                                || 160mm
Fabius Bile                                                            || 40mm
Fabius Bile: Surgeon Acolyte                                           || 32mm
Fellgor beastmen                                                       || 32mm
Forgefiend                                                             || 120x92mm Oval Base
Haarken Worldclaimer                                                   || 40mm
Havocs                                                                 || 40mm
Helbrute                                                               || 60mm
Heldrake                                                               || 120x92mm Oval Base
Heretic Astartes Daemon Prince                                         || 60mm
Heretic Astartes Daemon Prince with Wings                              || 60mm
Huron Blackheart                                                       || 32mm
Khorne Lord of Skulls                                                  || Hull
Legionaries                                                            || 32mm
Lord Discordant on Helstalker                                          || 120x92mm Oval Base
Master of Executions                                                   || 40mm
Master of Possession                                                   || 40mm
Maulerfiend                                                            || 120x92mm Oval Base
Nemesis Claw                                                           || 32mm
Noctilith Crown                                                        || Hull
Obliterators                                                           || 50mm
Possessed                                                              || 40mm
Raptors                                                                || 32mm
Sorcerer                                                               || 40mm
Sorcerer in Terminator Armour                                          || 40mm
Traitor Enforcer                                                       || 32mm
Traitor Enforcer: Traitor Ogryn                                        || 40mm
Traitor Guardsmen Squad                                                || 25mm
Vashtorr the Arkifane                                                  || 80mm
Venomcrawler                                                           || 100mm
Warp Talons                                                            || 32mm
Warpsmith                                                              || 60x35.5mm Oval Base
