Asmodai                                                                || 50mm
Azrael                                                                 || 50mm
Belial                                                                 || 50mm
Deathwing Knights                                                      || 40mm
Deathwing Terminator Squad                                             || 40mm
Ezekiel                                                                || 25mm
Inner Circle Companions                                                || 40mm
Land Speeder Vengeance                                                 || Large Flying Base
Lazarus                                                                || 40mm
Lion El'Jonson                                                         || 60mm
Nephilim Jetfighter                                                    || 120x92mm Oval Base
Ravenwing Black Knights                                                || 75x42mm Oval Base
Ravenwing Command Squad                                                || 75x42mm Oval Base
Ravenwing Dark Talon                                                   || 120x92mm Oval Base
Ravenwing Darkshroud                                                   || Large Flying Base
Sammael                                                                || Large Flying Base
