Biologus Putrifier                                                     || 40mm
Blightlord Terminators                                                 || 40mm
Chaos Land Raider                                                      || Hull
Chaos Predator Annihilator                                             || Hull
Chaos Predator Destructor                                              || Hull
Chaos Rhino                                                            || Hull
Chaos Spawn                                                            || 50mm
Daemon Prince of Nurgle                                                || 60mm
Daemon Prince of Nurgle with Wings                                     || 60mm
Deathshroud Terminators                                                || 40mm
Defiler                                                                || 160mm
Foetid Bloat-Drone                                                     || 60mm
Foetid Bloat-drone with Heavy Blight Launcher                          || 60mm
Foul Blightspawn                                                       || 40mm
Helbrute                                                               || 60mm
Icon Bearer                                                            || 32mm
Lord of Contagion                                                      || 40mm
Lord of Poxes                                                          || 40mm
Lord of Virulence                                                      || 50mm
Malignant Plaguecaster                                                 || 32mm
Miasmic Malignifier                                                    || Hull
Mortarion                                                              || 100mm
Myphitic Blight-Haulers                                                || 80mm
Noxious Blightbringer                                                  || 40mm
Plague Marines                                                         || 32mm
Plague Surgeon                                                         || 40mm
Plagueburst Crawler                                                    || Hull
Poxwalkers                                                             || 25mm
Tallyman                                                               || 40mm
Typhus                                                                 || 50mm
