Corvus Blackstar                                                       || 120x92mm Oval Base
Deathwatch Terminator Squad                                            || 40mm
Deathwatch Veterans                                                    || 32mm
Fortis Kill Team                                                       || 32mm
Indomitor Kill Team                                                    || 40mm
Spectrus Kill Team                                                     || 32mm
Spectrus Kill Team: Kill Team Infiltrators with bolt sniper rifles     || 40mm
Talonstrike Kill Team                                                  || 32mm
Talonstrike Kill Team: Kill Team Heavy Intercessors with Jump Packs    || 40mm
Watch Captain Artemis                                                  || 32mm
Watch Master                                                           || 32mm
