Aberrants                                                              || 32mm
Abominant                                                              || 40mm
Achilles Ridgerunners                                                  || 120x92mm Oval Base
Acolyte Hybrids with Autopistols                                       || 32mm
Acolyte Hybrids with Hand Flamers                                      || 32mm
Acolyte Iconward                                                       || 32mm
Atalan Jackals                                                         || 60x35.5mm Oval Base
Atalan Jackals: Wolfquad                                               || 60mm
Benefictus                                                             || 32mm
Biophagus                                                              || 25mm
Clamavus                                                               || 32mm
Goliath Rockgrinder                                                    || Hull
Goliath Truck                                                          || Hull
Hybrid Metamorphs                                                      || 32mm
Jackal Alphus                                                          || 60x35.5mm Oval Base
Kelermorph                                                             || 32mm
Locus                                                                  || 32mm
Magus                                                                  || 32mm
Neophyte Hybrids                                                       || 25mm
Neophyte Hybrids: Heavy stubber, Mining laser, Seismic cannon          || 32mm
Nexos                                                                  || 40mm
Patriarch                                                              || 50mm
Primus                                                                 || 32mm
Purestrain Genestealers                                                || 32mm
Reductus Saboteur                                                      || 32mm
Sanctus                                                                || 32mm
