Brother-Captain                                                        || 40mm
Brother-Captain Stern                                                  || 40mm
Brotherhood Champion                                                   || 32mm
Brotherhood Chaplain                                                   || 40mm
Brotherhood Librarian                                                  || 40mm
Brotherhood Techmarine                                                 || 32mm
Brotherhood Terminator Squad                                           || 40mm
Castellan Crowe                                                        || 40mm
Grand Master                                                           || 40mm
Grand Master in Nemesis Dreadknight                                    || 120x92mm Oval Base
Grand Master Voldus                                                    || 40mm
Grey Knights Land Raider                                               || Hull
Grey knights Land Raider Crusader                                      || Hull
Grey knights Land Raider Redeemer                                      || Hull
Grey knights Razorback                                                 || Hull
Grey knights Rhino                                                     || Hull
Grey knights Stormhawk Interceptor                                     || 120x92mm Oval Base
Grey knights Stormraven Gunship                                        || 120x92mm Oval Base
Grey knights Stormtalon Gunship                                        || 120x92mm Oval Base
Grey Knights Venerable Dreadnought                                     || 60mm
Interceptor Squad                                                      || 32mm
Kaldor Draigo                                                          || 40mm
Nemesis Dreadknight                                                    || 120x92mm Oval Base
Paladin Squad                                                          || 40mm
Purgation Squad                                                        || 32mm
Purifier Squad                                                         || 32mm
Servitors                                                              || 25mm
Strike Squad                                                           || 32mm
