Callidus Assassin                                                      || 32mm
Corvus Blackstar                                                       || 120x92mm Oval Base
Culexus Assassin                                                       || 32mm
Deathwatch Kill Team                                                   || 32mm
Eversor Assassin                                                       || 32mm
Exaction Squad                                                         || 28.5mm
Exaction Squad: Cyber-mastiff                                          || 25mm
Grey Knights Terminator Squad                                          || 40mm
Imperial Navy Breachers                                                || 25mm
Imperial Navy Breachers: Navis las-volley, endurant shield             || 28.5mm
Imperial Rhino                                                         || Hull
Inquisitor                                                             || 32mm
Inquisitor Coteaz                                                      || 40mm
Inquisitor Draxus                                                      || 32mm
Inquisitor Greyfax                                                     || 32mm
Inquisitorial Agents                                                   || 25mm
Inquisitorial Agents: Gun Servitors                                    || 32mm
Inquisitorial Chimera                                                  || Hull
Ministorum Priest                                                      || 32mm
Navigator                                                              || 32mm
Rogue Trader entourage                                                 || 25mm
Sanctifiers                                                            || 25mm
Sisters of Battle Immolator                                            || Hull
Sisters of Battle Squad                                                || 32mm
Subductor Squad                                                        || 28.5mm
Subductor Squad: Cyber-mastiff                                         || 25mm
Vigilant Squad                                                         || 28.5mm
Vigilant Squad: Cyber-mastiff                                          || 25mm
Vindicare Assassin                                                     || 32mm
Voidsmen-at-Arms                                                       || 32mm
Watch Captain Artemis                                                  || 32mm
Watch Master                                                           || 32mm
