Arkanyst Evaluator                                                     || 32mm
Brôkhyr Iron-master                                                    || 32mm
Brôkhyr Iron-master: E-COG                                             || 25mm
Brôkhyr Iron-master: Ironkin Assistant                                 || 28.5mm
Brôkhyr Thunderkyn                                                     || 40mm
Buri Aegnirssen                                                        || 40mm
Cthonian Beserks                                                       || 28.5mm
Cthonian Beserks: Mole grenade launcher                                || 50mm
Cthonian Earthshakers                                                  || 80mm
Einhyr Champion                                                        || 40mm
Einhyr Hearthguard                                                     || 32mm
Grimnyr                                                                || 40mm
Grimnyr: CORV                                                          || 25mm
Hearthkyn Warriors                                                     || 28.5mm
Hekaton Land Fortress                                                  || Hull
Hernkyn Pioneers                                                       || 90x52.5mm Oval Base
Hernkyn Yaegirs                                                        || 28.5mm
Ironkin Steeljacks with Heavy Volkanite Disintegrators                 || 40mm
Ironkin Steeljacks with Melee Weapons                                  || 40mm
Kâhl                                                                   || 40mm
Kapricus Carrier                                                       || 105x70 Oval Base
Kapricus Defenders                                                     || 105x70 Oval Base
Memnyr Strategist                                                      || 32mm
Sagitaur                                                               || Hull
Ûthar the Destined                                                     || 40mm
