Annihilation Barge                                                     || Large Flying Base
C'tan Shard of the Deceiver                                            || 40mm
C'tan Shard of the Nightbringer                                        || 40mm
C'tan Shard of the Void Dragon                                         || 80mm
Canoptek Doomstalker                                                   || 90mm
Canoptek Reanimator                                                    || 60mm
Canoptek Scarab Swarms                                                 || 40mm
Canoptek Spyders                                                       || 60mm
Canoptek Wraiths                                                       || 50mm
Catacomb Command Barge                                                 || Large Flying Base
Chronomancer                                                           || 40mm
Convergence of Dominion                                                || Hull
Cryptothralls                                                          || 32mm
Deathmarks                                                             || 32mm
Doom Scythe                                                            || 120x92mm Oval Base
Doomsday Ark                                                           || Large Flying Base
Flayed Ones                                                            || 28.5mm
Ghost Ark                                                              || Large Flying Base
Hexmark Destroyer                                                      || 50mm
Illuminor Szeras                                                       || 80mm
Immortals                                                              || 32mm
Imotekh the Stormlord                                                  || 40mm
Lokhust Destroyers                                                     || Large Flying Base
Lokhust Heavy Destroyers                                               || 60mm
Lokhust Lord                                                           || Large Flying Base
Lychguard                                                              || 32mm
Monolith                                                               || 160mm
Necron Warriors                                                        || 32mm
Night Scythe                                                           || 120x92mm Oval Base
Obelisk                                                                || 120x92mm Oval Base
Ophydian Destroyers                                                    || 50mm
Orikan the Diviner                                                     || 40mm
Overlord                                                               || 40mm
Overlord with Translocation Shroud                                     || 40mm
Plasmancer                                                             || 32mm
Psychomancer                                                           || 40mm
Royal Warden                                                           || 32mm
Skorpekh Destroyers                                                    || 50mm
Skorpekh Lord                                                          || 60mm
Technomancer                                                           || 50mm
Tesseract Vault                                                        || 120x92mm Oval Base
The Silent King: Szarekh                                               || 100mm
The Silent King: Triarchal Menhir                                      || 50mm
Tomb Blades                                                            || Small Flying Base
Transcendent C'tan                                                     || 60mm
Trazyn the Infinite                                                    || 40mm
Triarch Praetorians                                                    || 32mm
Triarch Stalker                                                        || Hull
