Adrax Agatone                                                          || 40mm
Aethon Shaan                                                           || 50mm
Aggressor Squad                                                        || 40mm
Ancient                                                                || 40mm
Ancient in Terminator Armour                                           || 40mm
Apothecary                                                             || 40mm
Apothecary Biologis                                                    || 40mm
Assault Intercessor Squad                                              || 32mm
Assault Intercessors with Jump Packs                                   || 32mm
Ballistus Dreadnought                                                  || 90mm
Bladeguard Ancient                                                     || 40mm
Bladeguard Veteran Squad                                               || 40mm
Brutalis Dreadnought                                                   || 90mm
Caanok Var                                                             || 50mm
Captain                                                                || 40mm
Captain in Gravis Armour                                               || 40mm
Captain in Phobos Armour                                               || 40mm
Captain in Terminator Armour                                           || 50mm
Captain Sicarius                                                       || 32mm
Captain with Jump Pack                                                 || 40mm
Cato Sicarius                                                          || 40mm
Centurion Assault Squad                                                || 50mm
Centurion Devastator Squad                                             || 50mm
Chaplain                                                               || 40mm
Chaplain in Terminator Armour                                          || 40mm
Chaplain on Bike                                                       || 90x52.5mm Oval Base
Chaplain with Jump Pack                                                || 32mm
Chief Librarian Tigurius                                               || 40mm
Company Heroes                                                         || 40mm
Darnath Lysander                                                       || 50mm
Desolation Squad                                                       || 32mm
Devastator Squad                                                       || 32mm
Dreadnought                                                            || 60mm
Drop Pod                                                               || Hull
Eliminator Squad                                                       || 40mm
Eradicator Squad                                                       || 40mm
Firestrike Servo-turrets                                               || 80mm
Gladiator Lancer                                                       || 100mm
Gladiator Reaper                                                       || 100mm
Gladiator Valiant                                                      || 100mm
Hammerfall Bunker                                                      || Hull
Heavy Intercessor Squad                                                || 40mm
Hellblaster Squad                                                      || 32mm
Impulsor                                                               || 100mm
Inceptor Squad                                                         || 40mm
Incursor Squad                                                         || 32mm
Infernus Squad                                                         || 32mm
Infiltrator Squad                                                      || 32mm
Intercessor Squad                                                      || 32mm
Invader ATV                                                            || Hull
Invictor Tactical Warsuit                                              || 90mm
Iron Father Feirros                                                    || 40mm
Judiciar                                                               || 40mm
Kayvaan Shrike                                                         || 40mm
Kor'sarro Khan                                                         || 40mm
Land Raider                                                            || Hull
Land Raider Crusader                                                   || Hull
Land Raider Redeemer                                                   || Hull
Librarian                                                              || 40mm
Librarian in Phobos Armour                                             || 40mm
Librarian in Terminator Armour                                         || 40mm
Lieutenant                                                             || 40mm
Lieutenant in Phobos Armour                                            || 40mm
Lieutenant in Reiver Armour                                            || 40mm
Lieutenant Titus                                                       || 40mm
Lieutenant with Combi-weapon                                           || 40mm
Marneus Calgar                                                         || 50mm
Marneus Calgar: Victrix Honour Guard                                   || 40mm
Marneus Calgar in Armour of Antilochus                                 || 50mm
Outrider Squad                                                         || 90x52.5mm Oval Base
Pedro Kantor                                                           || 32mm
Predator Annihilator                                                   || Hull
Predator Destructor                                                    || Hull
Razorback                                                              || Hull
Redemptor Dreadnought                                                  || 90mm
Reiver Squad                                                           || 32mm
Repulsor                                                               || 100mm
Repulsor Executioner                                                   || 100mm
Rhino                                                                  || Hull
Roboute Guilliman                                                      || 60mm
Scout Squad                                                            || 28.5mm
Sternguard Veteran Squad                                               || 32mm
Storm Speeder Hailstrike                                               || 90mm
Storm Speeder Hammerstrike                                             || 90mm
Storm Speeder Thunderstrike                                            || 90mm
Stormhawk Interceptor                                                  || 120x92mm Oval Base
Stormraven Gunship                                                     || 120x92mm Oval Base
Stormtalon Gunship                                                     || 120x92mm Oval Base
Suboden Khan                                                           || 90x52.5mm Oval Base
Suppressor Squad                                                       || 40mm
Tactical Squad                                                         || 32mm
Techmarine                                                             || 40mm
Terminator Assault Squad                                               || 40mm
Terminator Squad                                                       || 40mm
Tor Garadon                                                            || 40mm
Uriel Ventris                                                          || 40mm
Vanguard Veteran Squad with Jump Packs                                 || 32mm
Victrix Honour Guard                                                   || 40mm
Vindicator                                                             || Hull
Vulkan He'stan                                                         || 40mm
Whirlwind                                                              || Hull
