Arjac Rockfist                                                         || 50mm
Bjorn the Fell-handed                                                  || 60mm
Blood Claws                                                            || 32mm
Fenrisian Wolves                                                       || 40mm
Grey Hunters                                                           || 32mm
Iron Priest                                                            || 32mm
Logan Grimnar                                                          || 80mm
Murderfang                                                             || 60mm
Njal Stormcaller                                                       || 40mm
Ragnar Blackmane                                                       || 40mm
Thunderwolf Cavalry                                                    || 60mm
Ulrik the Slayer                                                       || 32mm
Venerable Dreadnought                                                  || 60mm
Wolf Guard Battle Leader                                               || 40mm
Wolf Guard Headtakers                                                  || 40mm
Wolf Guard Headtakers: Hunting Wolves                                  || 60x35.5mm Oval Base
Wolf Guard Terminators                                                 || 40mm
Wolf Priest                                                            || 40mm
Wulfen                                                                 || 40mm
Wulfen Dreadnought                                                     || 60mm
Wulfen with Storm Shields                                              || 40mm
