Ahriman                                                                || 40mm
Chaos Land Raider                                                      || Hull
Chaos Predator Annihilator                                             || Hull
Chaos Predator Destructor                                              || Hull
Chaos Rhino                                                            || Hull
Chaos Spawn                                                            || 50mm
Chaos Vindicator                                                       || Hull
Daemon Prince of Tzeentch                                              || 60mm
Daemon Prince of Tzeentch with Wings                                   || 60mm
Defiler                                                                || 160mm
Exalted Sorcerer                                                       || 32mm
Exalted Sorcerer on Disc of Tzeentch                                   || 40mm
Forgefiend                                                             || 120x92mm Oval Base
Helbrute                                                               || 60mm
Heldrake                                                               || 120x92mm Oval Base
Infernal Master                                                        || 40mm
Magnus the Red                                                         || 100mm
Maulerfiend                                                            || 120x92mm Oval Base
Mutalith Vortex Beast                                                  || 120x92mm Oval Base
Rubric Marines                                                         || 32mm
Scarab Occult Terminators                                              || 40mm
Sekhetar Robots                                                        || 40mm
Sorcerer                                                               || 32mm
Sorcerer in Terminator Armour                                          || 40mm
Tzaangor Enlightened                                                   || 40mm
Tzaangor Enlightened with Fatecaster Greatbows                         || 40mm
Tzaangor Shaman                                                        || 40mm
Tzaangors                                                              || 32mm
