Barbgaunts                                                             || 40mm
Biovores                                                               || 80mm
Broodlord                                                              || 75x42mm Oval Base
Carnifexes                                                             || 105x70mm Oval Base
Deathleaper                                                            || 60mm
Exocrine                                                               || 120x92mm Oval Base
Gargoyles                                                              || Small Flying Base
Genestealers                                                           || 32mm
Harpy                                                                  || 120x92mm Oval Base
Haruspex                                                               || 120x92mm Oval Base
Hive Crone                                                             || 120x92mm Oval Base
Hive Guard                                                             || 50mm
Hive Tyrant                                                            || 60mm
Hormagaunts                                                            || 28.5mm
Lictor                                                                 || 50mm
Maleceptor                                                             || 120x92mm Oval Base
Mawloc                                                                 || 120x92mm Oval Base
Mucolid Spores                                                         || 40mm
Neurogaunts                                                            || 25mm
Neurogaunts: Nodebeasts                                                || 28.5mm
Neurolictor                                                            || 50mm
Neurotyrant                                                            || 50mm
Norn Assimilator                                                       || 100mm
Norn Emissary                                                          || 100mm
Old One Eye                                                            || 105x70mm Oval Base
Parasite of Mortrex                                                    || 40mm
Psychophage                                                            || 120x92mm Oval Base
Pyrovores                                                              || 80mm
Raveners                                                               || 40mm
Ripper Swarms                                                          || 40mm
Screamer-killer                                                        || 90mm
Spore MInes                                                            || 25mm
Sporocyst                                                              || Hull
Termagants                                                             || 28.5mm
Tervigon                                                               || 120x92mm Oval Base
The Swarmlord                                                          || 60mm
Toxicrene                                                              || 120x92mm Oval Base
Trygon                                                                 || 120x92mm Oval Base
Tyranid Warriors with Melee Bio-weapons                                || 50mm
Tyranid Warriors with Ranged Bio-weapons                               || 50mm
Tyrannocyte                                                            || 100mm
Tyrannofex                                                             || 120x92mm Oval Base
Tyrant Guard                                                           || 50mm
Venomthropes                                                           || 40mm
Von Ryan's Leapers                                                     || 40mm
Winged Hive Tyrant                                                     || 60mm
Winged Tyranid Prime                                                   || 50mm
Zoanthropes                                                            || 40mm
