Beastlord                                                              || 40mm
Bestigors                                                              || 32mm
Bullgors                                                               || 50mm
Centigors                                                              || 60 x 35mm
Chaos Gargant                                                          || 90 x 52mm
Chaos Spawn                                                            || 50mm
Chaos Warhounds                                                        || 60 x 35mm
Chimera                                                                || 120 x 92mm
Cockatrice                                                             || 60mm
Cygor                                                                  || 120 x 92mm
Doomblast Dirgehorn                                                    || 40mm
Doombull                                                               || 50mm
Dragon Ogor Shaggoth                                                   || 90 x 52mm
Dragon Ogors                                                           || 90 x 52mm
Ghorgon                                                                || 120 x 92mm
Gors                                                                   || 32mm
Grashrak Fellhoof                                                      || 32mm
Grashrak's Despoilers                                                  || 32mm [1], 25mm [4]
Great Bray-Shaman                                                      || 32mm
Herdstone                                                              || Use model
Jabberslythe                                                           || 120 x 92mm
Morghurite Chaos Spawn (Gibbering Congregation)                        || 50mm
Ravening Direflock                                                     || 40mm
Razorgors                                                              || 75 x 42mm
Slaangor Fiendbloods                                                   || 40mm
Tuskgor Chariots                                                       || 105 x 70mm
Tzaangor Enlightened                                                   || 40mm
Tzaangor Enlightened on Discs of Tzeentch                              || 40mm
Tzaangor Shaman                                                        || 40mm
Tzaangor Skyfires                                                      || 40mm
Tzaangors                                                              || 32mm
Ungor Raiders                                                          || 25mm
Ungors                                                                 || 25mm
Wildfire Taurus                                                        || 105 x 70mm
