Aspiring Deathbringer                                                  || 40mm
Bleeding Icon                                                          || 105 x 70mm
Blood Warriors                                                         || 32mm
Bloodcrushers                                                          || 90 x 52mm
Bloodletters                                                           || 32mm
Bloodmaster, Herald of Khorne                                          || 40mm
Bloodreavers                                                           || 32mm
Bloodsecrator                                                          || 32mm
Bloodstoker                                                            || 40mm
Bloodthirster of Insensate Rage                                        || 120 x 92mm
Bloodthirster of Unfettered Fury                                       || 120 x 92mm
Claws of Karanak                                                       || 40mm [1], 60 x 35mm [1], 32mm [2], 28.5mm [4]
Dromm, Wounder of Worlds                                               || 40mm
Exalted Deathbringer                                                   || 40mm
Exalted Greater Daemon of Khorne                                       || 160mm (No longer in pdf)
Flesh Hounds                                                           || 60 x 35mm
Garrek's Reavers                                                       || 32mm
Gorechosen of Dromm                                                    || 40mm [1], 32mm [1]
Herald of Khorne on Blood Throne                                       || 120 x 92mm
Hexgorger Skulls                                                       || 60mm
Karanak                                                                || 75 x 42mm
Khorgorath                                                             || 90 x 52mm
Korghos Khul                                                           || 60mm
Lord of Khorne on Juggernaut                                           || 90 x 52mm
Magore's Fiends                                                        || 32mm
Mazarall the Butcher                                                   || 100mm (No longer in pdf)
Mighty Lord of Khorne                                                  || 60mm
Mighty Skullcrushers                                                   || 90 x 52mm
Realmgore Ritualist                                                    || 32mm
Riptooth                                                               || 50mm (Not listed in pdf)
Scyla Anfingrimm                                                       || 60mm
Skaarac the Bloodborn                                                  || 160mm (No longer in pdf)
Skarbrand                                                              || 100mm
Skarr Bloodwrath                                                       || 40mm
Skull Altar                                                            || Use model
Skull Cannon                                                           || 120 x 92mm
Skullgrinder                                                           || 40mm
Skullmaster, Herald of Khorne                                          || 90 x 52mm
Skullreapers                                                           || 40mm
Skulltaker                                                             || 40mm
Slaughterpriest                                                        || 40mm
Valkia the Bloody                                                      || 32mm
Wrath of Khorne Bloodthirster                                          || 120 x 92mm
Wrath-axe                                                              || 105 x 70mm
Wrathmongers                                                           || 40mm
