Alchemite Warforger                                                    || 32mm
Anointed                                                               || 25mm (No longer in pdf)
Anointed on Flamespyre Phoenix                                         || 120 x 92mm (No longer in pdf)
Anointed on Frostheart Phoenix                                         || 120 x 92mm (No longer in pdf)
Assassin                                                               || 25mm
Battlemage                                                             || 25mm
Battlemage on Celestial Hurricanum                                     || 120 x 92mm
Battlemage on Griffon                                                  || 120 x 92mm
Battlemage on Luminark of Hysh                                         || 120 x 92mm
Black Ark Corsairs                                                     || 25mm
Black Ark Fleetmaster                                                  || 25mm
Black Guard                                                            || 25mm
Bleakswords                                                            || 25mm
Brethren of the Bolt                                                   || 32mm [1], 25mm [3]
Callis and Toll                                                        || 32mm [2]
Celestial Hurricanum                                                   || 120 x 92mm
Cogsmith                                                               || 25mm
Dark Riders                                                            || 60 x 35mm
Darkshards                                                             || 25mm
Demigryph Knights                                                      || 75 x 42mm (No longer in pdf)
Doralia ven Denst                                                      || 28.5mm
Drakespawn Chariots                                                    || 120 x 92mm
Drakespawn Knights                                                     || 60 x 35mm
Dreadlord on Black Dragon                                              || 105 x 70mm
Dreadspears                                                            || 25mm
Eternal Guard                                                          || 25mm (No longer in pdf)
Executioners                                                           || 25mm
Flagellants                                                            || 25mm
Flamespyre Phoenix                                                     || 120 x 92mm (No longer in pdf)
Freeguild Cavalier-Marshal                                             || 75 x 42mm
Freeguild Cavaliers                                                    || 60 x 35mm
Freeguild Command Corps                                                || 40mm [1], 28.5mm [5], 25mm [1]
Freeguild Crossbowmen                                                  || 25mm (No longer in pdf)
Freeguild Fusiliers                                                    || 28.5mm [10], 25mm [1]
Freeguild General                                                      || 25mm (No longer in pdf)
Freeguild General on Griffon                                           || 120 x 92mm (No longer in pdf)
Freeguild Greatswords                                                  || 25mm (No longer in pdf)
Freeguild Guard                                                        || 25mm (No longer in pdf)
Freeguild Handgunners                                                  || 25mm (No longer in pdf)
Freeguild Marshal and Relic Envoy                                      || 32mm [1], 28.5mm [1]
Freeguild Marshal on Griffon                                           || 120 x 92mm
Freeguild Outriders                                                    || 60 x 35mm (No longer in pdf)
Freeguild Pistoliers                                                   || 60 x 35mm (No longer in pdf)
Freeguild Steelhelms                                                   || 25mm
Frostheart Phoenix                                                     || 120 x 92mm (No longer in pdf)
Fusil-Major on Ogor Warhulk                                            || 50mm
Galen ven Denst                                                        || 28.5mm
Gyrobomber                                                             || 50mm
Gyrocopters                                                            || 50mm
Hammerers                                                              || 25mm
Haskel Hexbane                                                         || 28.5mm
Helblaster Volley Gun                                                  || 90 x 52mm (No longer in pdf)
Helstorm Rocket Battery                                                || 90 x 52mm (No longer in pdf)
Hexbane's Hunters                                                      || 25mm [2], 28.5mm [2], 32mm [1]
Ironbreakers                                                           || 25mm
Irondrakes                                                             || 25mm
Ironweld Great Cannon                                                  || 90mm
Kharibdyss                                                             || 120 x 92mm
Longbeards                                                             || 25mm
Luminark of Hysh                                                       || 120 x 92mm
Mistweaver Saih                                                        || 32mm (No longer in pdf)
Nomad Prince                                                           || 32mm (No longer in pdf)
Pater Filius                                                           || 40mm
Phoenix Guard                                                          || 25mm (No longer in pdf)
Pontifex Zenestra, Matriach of the Great Wheel                         || 90 x 52mm
Runelord                                                               || 25mm
Scourgerunner Chariots                                                 || 120 x 92mm
Shadow Warriors                                                        || 25mm (No longer in pdf)
Sisters of the Thorn                                                   || 60 x 35mm (No longer in pdf)
Sisters of the Watch                                                   || 25mm (No longer in pdf)
Sorceress                                                              || 25mm
Sorceress on Black Dragon                                              || 105 x 70mm
Steam Tank                                                             || 120 x 92mm
Steam Tank Commander                                                   || 120 x 92mm
Tahlia Vedra, Lioness of the Parch                                     || 100mm
Tenebrael Shard                                                        || 32mm (No longer in pdf)
Toll’s Companions                                                      || 40mm [1], 32mm [2]
War Hydra                                                              || 120 x 92mm
Warden King                                                            || 25mm
Wild Riders                                                            || 60 x 35mm (No longer in pdf)
Wildercorps Hunters                                                    || 40mm [2], 28.5mm [3], 25mm [6]
Wildwood Rangers                                                       || 25mm (No longer in pdf)
