Burning Chariots of Tzeentch                                           || 120 x 92mm
Burning Sigil of Tzeentch                                              || 50mm
Changecaster, Herald of Tzeentch                                       || 32mm
Chaos Spawn                                                            || 50mm
Curseling, Eye of Tzeentch                                             || 32mm
Daemonic Simulacrum                                                    || 105 x 70mm
Ephilim the Unknowable                                                 || 32mm
Ephilim's Pandaemonium                                                 || 32mm [2], 25mm [2]
Exalted Flamers of Tzeentch                                            || 75 x 42mm
Exalted Greater Daemon of Tzeentch                                     || 130mm (No longer in pdf)
Fatemaster                                                             || 60mm
Fateskimmer, Herald of Tzeentch on Burning Chariot                     || 120 x 92mm
Flamers of Tzeentch                                                    || 32mm
Fluxmaster, Herald of Tzeentch on Disc                                 || 60mm
Gaunt Summoner                                                         || 40mm
Gaunt Summoner on Disc of Tzeentch                                     || 40mm
Horrors of Tzeentch (Blue/Brimstone)                                   || 25mm
Horrors of Tzeentch (Pink)                                             || 32mm
Jade Obelisk                                                           || 32mm [5], 28.5mm [5]
Kairic Acolytes                                                        || 32mm
Kairos Fateweaver                                                      || 100mm
Lord of Change                                                         || 100mm
Magister                                                               || 32mm
Magister on Disc of Tzeentch                                           || 50mm
Ogroid Thaumaturge                                                     || 50mm
Screamers of Tzeentch                                                  || 32mm
The Blue Scribes                                                       || 60mm
The Changeling                                                         || 40mm
The Eyes of the Nine                                                   || 32mm [3], 25mm [2]
Tome of Eyes                                                           || 50mm
Tzaangor Enlightened                                                   || 40mm
Tzaangor Enlightened on Discs of Tzeentch                              || 40mm
Tzaangor Shaman                                                        || 40mm
Tzaangor Skyfires                                                      || 40mm
Tzaangors                                                              || 32mm
Vortemis the All-seeing                                                || 32mm
