Arwen ‘Jax Son of the Jade Forest                                      || 105 x 70mm
Detritus Denizen Swarm                                                 || 177 x 32mm (See Prismatic Palisade)
Gastrognome Guard                                                      || 60 x 35mm
Gastrognome War-Caravan                                                || 120 x 92mm
Gnomad Drovers                                                         || 25mm
Gnomad Hotpot                                                          || 50 x 25mm
Gnomad Scouts                                                          || 25mm
Gnomad Scouts riding Jade Eagles                                       || 50mm
Gryph-Hound Hobelars                                                   || 50mm
Habbinkerr Sentry                                                      || 50mm
Head Chef                                                              || 25mm
Hedge Hermit                                                           || 25mm
Mephistio Hartstock                                                    || 25mm
Spectral Briar Hedge                                                   || 177 x 32mm (See Prismatic Palisade)
Trail Thief                                                            || 25mm
Trailmaster on War-Cockerel                                            || 105 x 70mm
Yonella Lightfoot                                                      || 120 x 92mm
