Abhorrant Archregent                                                   || 40mm
Abhorrant Cardinal                                                     || 32mm
Abhorrant Ghoul King                                                   || 32mm
Abhorrant Ghoul King on Royal Terrorgheist                             || 130mm
Abhorrant Ghoul King on Royal Zombie Dragon                            || 130mm
Abhorrant Ghoul King with Crown of Delusion                            || 40mm (2022 Boxing Day miniature)
Abhorrant Gorewarden                                                   || 40mm
Cadaverous Barricade                                                   || Use model
Chalice of Ushoran                                                     || 50mm
Charnel Throne                                                         || Use model
Corpsemare Stampede                                                    || 120 x 92mm
Crypt Flayers                                                          || 50mm
Crypt Ghast Courtier                                                   || 32mm
Crypt Ghouls                                                           || 25mm
Crypt Haunter Courtier                                                 || 50mm
Crypt Horrors                                                          || 50mm
Crypt Infernal Courtier                                                || 50mm
Cryptguard                                                             || 25mm
Duke Crakmarrow                                                        || 32mm
Grand Justice Gormayne                                                 || 32mm
Marrowscroll Herald                                                    || 32mm
Morbheg Knights                                                        || 75 x 42mm
Nagash, Supreme Lord of the Undead                                     || 130mm
Royal Beastflayers                                                     || 32mm [2], 40mm [2], 28mm [3], 25mm [3]
Royal Decapitator                                                      || 32mm
Royal Terrorgheist                                                     || 130mm
Royal Zombie Dragon                                                    || 130mm
The Grymwatch                                                          || 32mm [1], 25mm [5]
Ushoran, Mortarch of Delusion                                          || 130mm
Varghulf Courtier                                                      || 90 x 52mm
