Aleguzzler Gargant                                                     || 90 x 52mm
Arachnarok Spider with Flinger                                         || 160mm
Arachnarok Spider with Spiderfang Warparty                             || 160mm
Bad Moon Loonshrine                                                    || Use model
Boingrot Bounderz                                                      || 32mm
Colossal Squig                                                         || 120 x 92mm (No longer in pdf)
Dankhold Troggboss                                                     || 60mm
Dankhold Troggoths                                                     || 60mm
Fellwater Troggoths                                                    || 50mm
Fungoid Cave-Shaman                                                    || 32mm
Gobbapalooza                                                           || 32mm
Grinkrak the Great                                                     || 32mm
Grinkrak's Looncourt                                                   || 32mm [2], 25mm [4]
Kragnos, the End of Empires                                            || 130mm
Loonboss                                                               || 32mm
Loonboss on Giant Cave Squig                                           || 40mm
Loonboss on Mangler Squigs                                             || 80mm
Loonboss with Giant Cave Squig                                         || 75 x 42mm
Loonsmasha Fanatics                                                    || 32mm
Madcap Shaman                                                          || 25mm
Malevolent Moon                                                        || 50mm
Mangler Squigs                                                         || 80mm
Mollog                                                                 || 50mm [1], 25mm [3]
Moonclan Shootas                                                       || 25mm
Moonclan Stabbas                                                       || 25mm
Mork's Mighty Mushroom                                                 || 60mm
Rabble-Rowza                                                           || 32mm
Rippa's Snarlfangs                                                     || 50 x 25mm
Rockgut Troggoths                                                      || 50mm
Scrapskuttle's Arachnacauldron                                         || 75 x 42mm
Scuttleboss on Gigantic Spider                                         || 60mm
Scuttletide                                                            || Use model
Skitterstrand Arachnarok                                               || 160mm
Skragrott, the Loonking                                                || 60 x 35mm
Snarlfang Riders                                                       || 60 x 35mm
Sneaky Snufflers                                                       || 32mm
Spider Riders                                                          || 60 x 35mm
Sporesplatta Fanatics                                                  || 32mm
Squig Gobba                                                            || 120 x 92mm (No longer in pdf)
Squig Herd                                                             || 25mm
Squig Hoppers                                                          || 32mm
Squigboss with Gnasha-squig                                            || 32mm
Troggoth Hag                                                           || 120 x 92mm (No longer in pdf)
Trugg the Troggoth King                                                || 100mm
Webspinner Shaman                                                      || 25mm
Webspinner Shaman on Arachnarok Spider                                 || 160mm
Zarbag                                                                 || 25mm
Zarbag's Gitz                                                          || 25mm
