Akhelian Allopexes                                                     || 90 x 52mm
Akhelian Allopexes (Bloodthirsty Shiver)                               || 90 x 52mm
Akhelian Ishlaen Guard                                                 || 60 x 35mm
Akhelian King                                                          || 60mm
Akhelian Leviadon                                                      || 120 x 92mm
Akhelian Morrsarr Guard                                                || 60 x 35mm
Akhelian Thrallmaster                                                  || 32mm
Cyreni of the Abyss                                                    || 32mm
Cyreni's Razors                                                        || 32mm [2], 40mm [1] (Cephanyr is on the 40mm)
Eidolon of Mathlann, Aspect of the Sea                                 || 100mm
Eidolon of Mathlann, Aspect of the Storm                               || 100mm
Elathain Ill-fated                                                     || 32mm
Elathain's Soulraid                                                    || 32mm [3], 25mm [1]
Gloomtide Shipwreck                                                    || Use model
Isharann Soulrender                                                    || 40mm
Isharann Soulscryer                                                    || 32mm
Isharann Tidecaster                                                    || 32mm
Lotann, Warden of the Soul Ledgers                                     || 40mm
Namarti Reavers                                                        || 32mm
Namarti Thralls                                                        || 32mm
Volturnos, High King of the Deep                                       || 60mm
