Maniak Weirdnob                                                        || 60 x 35mm
Savage Big Boss                                                        || 32mm
Wardokk                                                                || 32mm
Wurrgog Prophet                                                        || 32mm
Hedkrakka's Madmob                                                     || 32mm [3], 40mm [1]
Savage Big Stabbas                                                     || 60 x 35mm
Savage Boarboy Maniaks                                                 || 60 x 35mm
Savage Boarboys                                                        || 60 x 35mm
Savage Orruk Arrowboys                                                 || 32mm
Savage Orruk Morboys                                                   || 32mm
Savage Orruks                                                          || 32mm
