Astreia Solbright                                                      || 90 x 52mm
Aventis Firestrike, Magister of Hammerhal                              || 100mm
Gavriel Sureheart                                                      || 40mm
Knight-Heraldor                                                        || 40mm
Knight-Incantor                                                        || 40mm
Knight-Venator                                                         || 50mm
Knight-Zephyros                                                        || 40mm
Lord-Arcanum                                                           || 40mm
Lord-Arcanum on Celestial Dracoline                                    || 90 x 52mm
Lord-Arcanum on Gryph-charger                                          || 90 x 52mm
Lord-Arcanum on Tauralon                                               || 100mm
Lord-Castellant                                                        || 40mm
Lord-Exorcist                                                          || 40mm
Lord-Ordinator                                                         || 40mm
Castigators                                                            || 40mm
Celestar Ballista                                                      || 60mm [1], 40mm [2]
Decimators                                                             || 40mm
Domitan's Stormcoven                                                   || 40mm
Evocators                                                              || 40mm
Evocators on Celestial Dracolines                                      || 90 x 52mm
Judicators with Boltstorm Crossbows                                    || 40mm
Judicators with Skybolt Bows                                           || 40mm
Protectors                                                             || 40mm
Retributors                                                            || 40mm
Sequitors                                                              || 40mm
Steelheart's Champions                                                 || 40mm
Stormsire's Cursebreakers                                              || 40mm
The Emberwatch                                                         || 40mm
The Farstriders                                                        || 40mm
Xandire's Truthseekers                                                 || 40mm [3], 25mm [1]
