Bloodmaster, Herald of Khorne                                          || 40mm
Bloodsecrator                                                          || 32mm
Bloodstoker                                                            || 40mm
Bloodthirster of Insensate Rage                                        || 120 x 92mm
Bloodthirster of Unfettered Fury                                       || 120 x 92mm
Deathbringer                                                           || 40mm
Herald of Khorne on Blood Throne                                       || 120 x 92mm
Karanak                                                                || 75 x 42mm
Lord of Khorne on Juggernaut                                           || 90 x 52mm
Mighty Lord of Khorne                                                  || 60mm
Realmgore Ritualist                                                    || 32mm
Skarbrand                                                              || 100mm
Skarr Bloodwrath                                                       || 40mm
Skullgrinder                                                           || 40mm
Skullmaster, Herald of Khorne                                          || 90 x 52mm
Skulltaker                                                             || 40mm
Slaughterpriest                                                        || 40mm
Wrath of Khorne Bloodthirster                                          || 120 x 92mm
Blood Warriors                                                         || 32mm
Bloodcrushers                                                          || 90 x 52mm
Bloodletters                                                           || 32mm
Bloodreavers                                                           || 32mm
Claws of Karanak                                                       || 60 x 35mm [1], 40mm [1], 32mm [2], 28.5mm [4]
Flesh Hounds                                                           || 60 x 35mm
Khorgorath                                                             || 90 x 52mm
Mighty Skullcrushers                                                   || 90 x 52mm
Skull Cannon                                                           || 120 x 92mm
Skullreapers                                                           || 40mm
Wrathmongers                                                           || 40mm
