Kragnos, the End of Empires                                            || 130mm
Maniak Weirdnob                                                        || 60 x 35mm
Savage Big Boss                                                        || 32mm
Wardokk                                                                || 32mm
Wurrgog Prophet                                                        || 32mm
Savage Big Stabbas                                                     || 60 x 35mm
Savage Boarboy Maniaks                                                 || 60 x 35mm
Savage Boarboyz                                                        || 60 x 35mm
Savage Orruk Arrowboys                                                 || 32mm
Savage Orruk Morboyz                                                   || 32mm
Savage Orruks                                                          || 32mm
