Blue Horrors and Brimstone Horrors                                     || 25mm
Burning Chariot of Tzeentch                                            || 120 x 92mm
Chaos Spawn of Tzeentch                                                || 50mm
Exalted Flamer of Tzeentch                                             || 75 x 42mm
Flamers of Tzeentch                                                    || 32mm
Jade Obelisk                                                           || 32mm [5], 28.5mm [5]
Kairic Acolytes                                                        || 32mm
Pink Horrors                                                           || 32mm
Screamers of Tzeentch                                                  || 32mm
Tzaangor Enlightened                                                   || 40mm
Tzaangor Enlightened on Discs of Tzeentch                              || 40mm
Tzaangor Skyfires                                                      || 40mm
Tzaangors                                                              || 32mm
Changecaster, Herald of Tzeentch                                       || 32mm
Curseling, Eye of Tzeentch                                             || 32mm
Fateskimmer, Herald of Tzeentch on Burning Chariot                     || 120 x 92mm
Gaunt Summoner                                                         || 40mm
Gaunt Summoner on Disc of Tzeentch                                     || 40mm
Kairos Fateweaver                                                      || 100mm
Lord of Change                                                         || 100mm
Magister                                                               || 32mm
Magister on Disc of Tzeentch                                           || 50mm
Ogroid Thaumaturge                                                     || 50mm
The Changeling                                                         || 40mm
Tzaangor Shaman                                                        || 40mm
