Abhorrant Archregent                                                   || 40mm
Abhorrant Cardinal                                                     || 32mm
Abhorrant Ghoul King                                                   || 32mm
Abhorrant Ghoul King on Royal Terrorgheist                             || 130mm
Abhorrant Ghoul King on Royal Zombie Dragon                            || 130mm
Abhorrant Gorewarden                                                   || 40mm
Crypt Haunter Courtier                                                 || 50mm
Crypt Infernal Courtier                                                || 50mm
Grand Justice Gormayne                                                 || 32mm
High Falconer Felgryn                                                  || 32mm [1], 28.5mm [1]
Marrowscroll Herald                                                    || 32mm
Nagash, Supreme Lord of the Undead                                     || 130mm
Royal Decapitator                                                      || 32mm
Ushoran, Mortarch of Delusion                                          || 130mm
Crypt Flayers                                                          || 50mm
Crypt Ghouls                                                           || 25mm
Crypt Horrors                                                          || 50mm
Cryptguard                                                             || 25mm
Morbheg Knights                                                        || 75 x 42mm
Royal Beastflayers                                                     || 40mm [2], 32mm [2], 28.5mm [3], 25mm [3]
Royal Terrorgheist                                                     || 130mm
Royal Zombie Dragon                                                    || 130mm
Varghulf Courtier                                                      || 90 x 52mm
