Auric Flamekeeper                                                      || 32mm
Auric Runefather                                                       || 32mm
Auric Runefather on Magmadroth                                         || 120 x 92mm
Auric Runemaster                                                       || 32mm
Auric Runesmiter                                                       || 32mm
Auric Runesmiter on Magmadroth                                         || 120 x 92mm
Auric Runeson                                                          || 32mm
Auric Runeson on Magmadroth                                            || 120 x 92mm
Battlesmith                                                            || 32mm
Doomseeker                                                             || 32mm
Grimhold Exile                                                         || 32mm
Grimwrath Berzerker                                                    || 32mm
Auric Hearthguard                                                      || 32mm
Hearthguard Berzerkers with Berzerker Broadaxes                        || 32mm
Hearthguard Berzerkers with Flamestrike Poleaxes                       || 32mm
Vulkite Berzerkers with Bladed Slingshields                            || 32mm
Vulkite Berzerkers with Fyresteel Weapons                              || 32mm
Vulkyn Flameseekers                                                    || 32mm [4], 28.5mm [5]
