Dankhold Troggboss                                                     || 60mm
Fungoid Cave-Shaman                                                    || 32mm
Kragnos, the End of Empires                                            || 130mm
Loonboss                                                               || 32mm
Loonboss on Giant Cave Squig                                           || 40mm
Loonboss on Mangler Squigs                                             || 80mm
Rabble-Rowza                                                           || 32mm
Skragrott, the Loonking                                                || 60 x 35mm
Squigboss with Gnasha-squig                                            || 32mm
Trugg, the Troggoth King                                               || 100mm
Webspinner Shaman                                                      || 25mm
Webspinner Shaman on Arachnarok Spider                                 || 160mm
Arachnarok Spider with Flinger                                         || 160mm
Arachnarok Spider with Spiderfang Warparty                             || 160mm
Boingrot Bounderz                                                      || 32mm
Dankhold Troggoth                                                      || 60mm
Fellwater Troggoths                                                    || 50mm
Gobbapalooza                                                           || 32mm
Loonsmasha Fanatics                                                    || 32mm
Mangler Squigs                                                         || 80mm
Moonclan Shootas                                                       || 25mm
Moonclan Stabbas                                                       || 25mm
Rockgut Troggoths                                                      || 50mm
Skitterstrand Arachnarok                                               || 160mm
Snarlfang Riders                                                       || 60 x 35mm
Sneaky Snufflers                                                       || 32mm
Spider Riders                                                          || 60 x 35mm
Sporesplatta Fanatics                                                  || 32mm
Squig Herd                                                             || 25mm
Squig Hoppers                                                          || 32mm
Droggz da Sunchompa                                                    || 60mm
Frazzlegit Shaman on War-Wheela                                        || 150 x 95mm
Snarlboss on War-Wheela                                                || 150 x 95mm
Snarlboss                                                              || 60 x 35mm
Wolfgit Retinue                                                        || 60 x 35mm
Sunsteala Wheelas                                                      || 105 x 70mm
Doom Diver Catapult                                                    || 170 x 105mm
Snarlpack Cavalry                                                      || 75 x 42mm
