Bladebringer, Herald on Exalted Chariot                                || 120 x 92mm
Contorted Epitome                                                      || 75 x 42mm
Dexcessa, the Talon of Slaanesh                                        || 105 x 70mm
Glutos Orscollion, Lord of Gluttony                                    || 170 x 105mm
Infernal Enrapturess, Herald of Slaanesh                               || 60 x 35mm
Keeper of Secrets                                                      || 100mm
Lord of Hubris                                                         || 40mm
Lord of Pain                                                           || 40mm
Shalaxi Helbane                                                        || 100mm
Shardspeaker of Slaanesh                                               || 32mm
Sigvald, Prince of Slaanesh                                            || 60mm
Syll'Esske, the Vengeful Allegiance                                    || 50mm
Synessa, the Voice of Slaanesh                                         || 105 x 70mm
The Masque                                                             || 32mm
Blissbarb Archers                                                      || 28.5mm [10], 25mm [1]
Blissbarb Seekers                                                      || 75 x 42mm
Daemonettes                                                            || 25mm
Fiends                                                                 || 75 x 42mm
Hellflayer                                                             || 120 x 92mm
Hellstriders                                                           || 60 x 35mm
Myrmidesh Painbringers                                                 || 32mm
Seeker Chariot                                                         || 120 x 92mm
Seekers                                                                || 60 x 35mm
Slaangor Fiendbloods                                                   || 40mm
Slickblade Seekers                                                     || 75 x 42mm
Symbaresh Twinsouls                                                    || 32mm
