Ashen Elder                                                            || 32mm
Daemonsmith                                                            || 32mm
Daemonsmith on Infernal Taurus                                         || 130mm
Urak Taar, the First Daemonsmith                                       || 130mm
War Despot                                                             || 32mm

Anoninted Sentinels                                                    || 75 x 42mm
Bull Centaurs                                                          || 75 x 42mm
Deathshrieker Rocket Battery                                           || 100mm
Dominator Engine with Bane Maces                                       || 80mm
Dominator Engine with Immolation Cannons                               || 80mm
Hobgrot Vandalz                                                        || 25mm
Infernal Cohort with Hashutite Blades                                  || 28.5mm
Infernal Cohort with Hashutite Spears                                  || 28.5mm
Infernal Razers with Blunderbusses                                     || 28.5mm
Infernal Razers with Flamehurlers                                      || 28.5mm
Tormentor Bombard                                                      || 100mm
