Akhelian King                                                          || 60mm
Akhelian Thrallmaster                                                  || 32mm
Eidolon of Mathlann, Aspect of the Sea                                 || 100mm
Eidolon of Mathlann, Aspect of the Storm                               || 100mm
Ikon of the Storm                                                      || 32mm
Ikon of the Sea                                                        || 32mm
Isharann Soulrender                                                    || 40mm
Isharann Soulscryer                                                    || 32mm
Isharann Tidecaster                                                    || 32mm
Lotann, Warden of the Soul Ledgers                                     || 40mm
Mathaela, Oracle of the Abyss                                          || 40mm
Volturnos, High King of the Deep                                       || 60mm
Akhelian Allopex                                                       || 90 x 52mm
Akhelian Ishlaen Guard                                                 || 60 x 35mm
Akhelian Leviadon                                                      || 120 x 92mm
Akhelian Morrsarr Guard                                                || 60 x 35mm
Namarti Reavers                                                        || 32mm
Namarti Thralls                                                        || 32mm
