Aether-Khemist                                                         || 32mm
Aetheric Navigator                                                     || 32mm
Arkanaut Admiral                                                       || 32mm
Brokk Grungsson, Lord-Magnate of Barak-Nar                             || 50mm
Codewright                                                             || 32mm
Drekki Flynt                                                           || 32mm
Endrinmaster with Dirigible Suit                                       || 40mm
Endrinmaster with Endrinharness                                        || 32mm
Null-Khemist                                                           || 40mm
Arkanaut Company                                                       || 25mm
Arkanaut Frigate                                                       || 120 x 92mm
Arkanaut Ironclad                                                      || 170 x 105mm
Endrinriggers                                                          || 32mm
Grundstok Gunhauler                                                    || 105 x 70mm
Grundstok Thunderers                                                   || 32mm
Skywardens                                                             || 32mm
Vongrim Harpoon Crew                                                   || 32mm
Vongrim Salvagers                                                      || 32mm
