Alarith Stonemage                                                      || 40mm
Archmage Teclis and Celennar, Spirit of Hysh                           || 160mm
Avalenor, the Stoneheart King                                          || 100mm
Ellania and Ellathor, Eclipsian Warsages                               || 40mm
Hurakan Windmage                                                       || 60 x 35mm
Lyrior Uthralle, Warden of Ymetrica                                    || 90 x 52mm
Scinari Calligrave                                                     || 32mm
Scinari Cathallar                                                      || 32mm
Scinari Enlightener                                                    || 32mm
Scinari Loreseeker                                                     || 32mm
Sevireth, Lord of the Seventh Wind                                     || 60mm
The Light of Eltharion                                                 || 50mm
Vanari Bannerblade                                                     || 40mm
Vanari Lord Regent                                                     || 90 x 52mm
Alarith Spirit of the Mountain                                         || 100mm
Alarith Stoneguard                                                     || 32mm
Hurakan Spirit of the Wind                                             || 60mm
Hurakan Windchargers                                                   || 60 x 35mm
Vanari Auralan Sentinels                                               || 32mm
Vanari Auralan Wardens                                                 || 32mm
Vanari Bladelords                                                      || 32mm
Vanari Dawnriders                                                      || 60 x 35mm
Vanari Starshard Ballista                                              || 80mm
Ydrilan Riverblades                                                    || 32mm [5], 28.5mm [5]
