Abraxia, Spear of the Everchosen                                       || 100mm
Archaon, the Everchosen                                                || 160mm
Be'lakor, the Dark Master                                              || 100mm
Centaurion Marshal                                                     || 80mm
Chaos Lord                                                             || 40mm
Chaos Lord on Daemonic Mount                                           || 90 x 52mm
Chaos Lord on Karkadrak                                                || 90 x 52mm
Chaos Sorcerer Lord                                                    || 40mm (Now correct in PDF)
Daemon Prince                                                          || 60mm
Darkoath Chieftain                                                     || 32mm
Darkoath Chieftain on Warsteed                                         || 75 x 42mm
Darkoath Warqueen                                                      || 32mm
Eternus, Blade of the First Prince                                     || 90 x 52mm
Exalted Hero of Chaos                                                  || 40mm
Gaunt Summoner                                                         || 40mm
Gaunt Summoner on Disc of Tzeentch                                     || 40mm
Gunnar Brand                                                           || 32mm
Singri Brand                                                           || 60 x 35mm
Ogroid Myrmidon                                                        || 50mm
Chaos Chariot                                                          || 120 x 92mm
Chaos Chosen                                                           || 40mm
Chaos Furies                                                           || 32mm
Chaos Knights                                                          || 75 x 42mm
Chaos Legionnaires                                                     || 32mm [5], 28.5mm [3]
Chaos Spawn                                                            || 50mm
Chaos Warriors                                                         || 32mm
Darkoath Fellriders                                                    || 60 x 35mm
Darkoath Marauders                                                     || 28.5mm
Darkoath Savagers                                                      || 32mm [3], 28.5mm [7]
Darkoath Wilderfiend                                                   || 60mm
Fomoroid Crusher                                                       || 60mm
Gorebeast Chariot                                                      || 120 x 92mm
Legion of the First Prince Beasts of Nurgle                            || 60mm
Legion of the First Prince Bloodcrushers                               || 90 x 52mm
Legion of the First Prince Bloodletters                                || 32mm
Legion of the First Prince Fiends                                      || 75 x 42mm
Legion of the First Prince Flamers of Tzeentch                         || 32mm
Legion of the First Prince Hellflayer                                  || 120 x 92mm
Legion of the First Prince Plaguebearers                               || 32mm
Legion of the First Prince Screamers of Tzeentch                       || 32mm
Mindstealer Sphiranx                                                   || 90 x 52mm
Mutalith Vortex Beast                                                  || 120 x 92mm
Ogroid Theridons                                                       || 50mm
Raptoryx                                                               || 60 x 35mm
Slaughterbrute                                                         || 120 x 92mm
The Oathsworn Kin                                                      || 32mm
Varanguard                                                             || 75 x 42mm
