Beast-smasher Mega-Gargant                                             || 130mm
Gatebreaker Mega-Gargant                                               || 130mm
King Brodd                                                             || 130mm
Kragnos, the End of Empires                                            || 130mm
Kraken-eater Mega-Gargant                                              || 130mm
Ma Maegran, Chooser of the Mighty                                      || 90mm
Warstomper Mega-Gargant                                                || 130mm
Ancient Ghyrochs                                                       || 105 x 70mm
Boss-stompers                                                          || 90mm
Mancrusher Gargant                                                     || 90 x 52mm
Rock-hurlers                                                           || 90mm
