Celestant-Prime, Hammer of Sigmar                                      || 100mm
Drakesworn Templar                                                     || 170 x 105mm
Gardus Steel Soul                                                      || 50mm
Ionus Cryptborn, Warden of Lost Souls                                  || 100mm
Iridan the Witness                                                     || 120 x 92mm
Karazai the Scarred                                                    || 160mm
Knight-Arcanum                                                         || 40mm
Knight-Azyros                                                          || 50mm
Knight-Draconis                                                        || 105 x 70mm
Knight-Judicator with Gryph-hounds                                     || 90 x 52mm [1], 40mm [2]
Knight-Questor                                                         || 40mm
Knight-Relictor                                                        || 40mm
Knight-Vexillor                                                        || 40mm
Krondys, Son of Dracothion                                             || 160mm
Lorai, Child of the Abyss                                              || 40mm
Lord-Aquilor                                                           || 90 x 52mm
Lord-Celestant                                                         || 40mm
Lord-Celestant on Dracoth                                              || 90 x 52mm
Lord-Celestant on Stardrake                                            || 170 x 105mm
Lord-Commander Bastian Carthalos                                       || 50mm
Lord-Imperatant                                                        || 40mm [1], 32mm [1]
Lord-Relictor                                                          || 40mm
Lord-Terminos                                                          || 40mm [1], 25mm [1]
Lord-Veritant                                                          || 40mm
Lord-Vigilant on Gryph-stalker                                         || 90 x 52mm
Lord-Vigilant on Morrgryph                                             || 120 x 92mm
Neave Blacktalon                                                       || 40mm
Tornus the Redeemed                                                    || 50mm
Vandus Hammerhand                                                      || 90 x 52mm
Yndrasta, the Celestial Spear                                          || 60mm
Aetherwings                                                            || 32mm
Annihilators                                                           || 40mm
Annihilators with Meteoric Grandhammers                                || 40mm
Dracothian Guard Concussors                                            || 90 x 52mm
Dracothian Guard Desolators                                            || 90 x 52mm
Dracothian Guard Fulminators                                           || 90 x 52mm
Dracothian Guard Tempestors                                            || 90 x 52mm
Gryph-hounds                                                           || 40mm
Liberators                                                             || 40mm
Neave's Companions                                                     || 40mm
Praetors                                                               || 40mm
Prosecutors                                                            || 40mm
Questor Soulsworn                                                      || 40mm
Reclusians                                                             || 40mm
Stormcoven                                                             || 40mm
Stormdrake Guard                                                       || 105 x 70mm
Stormstrike Chariot                                                    || 120 x 92mm
Stormstrike Palladors                                                  || 90 x 52mm
Vanguard-Hunters                                                       || 40mm
Vanguard-Palladors with Shock Handaxes                                 || 75 x 42mm
Vanguard-Palladors with Starstrike Javelins                            || 75 x 42mm
Vanguard-Raptors with Hurricane Crossbows                              || 40mm
Vanguard-Raptors with Longstrike Crossbows                             || 60 x 35mm. Champion is 40mm.
Vanquishers                                                            || 40mm
Vigilors                                                               || 40mm
Vindictors                                                             || 40mm
