Acolyte Globadiers                                                     || 28.5mm
Arch-Warlock                                                           || 32mm
Bell of Doom                                                           || 40mm
Brood Horror                                                           || 120 x 92mm (Not in pdf)
Clanrats                                                               || 25mm
Clawlord                                                               || 32mm
Clawlord on Gnaw-beast                                                 || 90 x 52mm
Clawlord on Brood Horror                                               || 120 x 92mm (Not in pdf)
Deathmaster                                                            || 32mm
Doom-Flayer                                                            || 50mm (Was 60 x 35mm)
Doomwheel                                                              || 105 x 70mm
Giant Rats                                                             || 25mm
Gnawhole                                                               || Use model
Grey Seer                                                              || 32mm
Grey Seer on Screaming Bell                                            || 120 x 92mm
Gutter Runners                                                         || 25mm
Hell Pit Abomination                                                   || 120 x 92mm
Lord Skreech Verminking                                                || 120 x 92mm
Master Moulder                                                         || 32mm
Night Runners                                                          || 25mm
Packmasters                                                            || 25mm
Plague Censer Bearers                                                  || 32mm
Plague Monks                                                           || 25mm
Plague Priest                                                          || 32mm
Plague Priest on Plague Furnace                                        || 120 x 92mm
Plagueclaw                                                             || 120 x 92mm
Rat Ogors                                                              || 50mm
Rat Swarms                                                             || 50mm
Ratling Gun                                                            || 60 x 35mm
Ratling Warpblaster                                                    || 105 x 70mm
Skabbik Plagueseeker                                                   || 32mm
Skabbik's Plaguepack                                                   || 28.5mm [1], 25mm [4]
Skaven Wolf Rats                                                       || 75 x 42mm (Not in pdf)
Skittershank's Clawpack                                                || 32mm [1], 25mm [3]
Skritch Spiteclaw                                                      || 32mm
Skryre Acolytes                                                        || 32mm
Slynk Skittershank                                                     || 32mm
Spiteclaw's Swarm                                                      || 25mm
Stormfiends                                                            || 60mm
Stormvermin                                                            || 25mm
Thanquol on Boneripper                                                 || 90 x 52mm
Verminlord Corruptor                                                   || 120 x 92mm
Verminlord Deceiver                                                    || 120 x 92mm
Verminlord Warbringer                                                  || 120 x 92mm
Verminlord Warpseer                                                    || 120 x 92mm
Vermintide                                                             || 120 x 92mm
Warlock Bombardier                                                     || 32mm
Warlock Engineer                                                       || 32mm
Warp Lightning Cannon                                                  || 120 x 92mm
Warp Lightning Vortex                                                  || 40mm
Warp-Grinder                                                           || 60 x 35mm
Warpfire Thrower                                                       || 60 x 35mm
Warpgnaw Verminlord                                                    || 105 x 70mm (Not in pdf)
Warplock Jezzails                                                      || 60 x 35mm
