Aetherwings                                                            || 32mm
Annihilators                                                           || 40mm
Annihilators with Meteoric Grandhammers                                || 40mm
Astreia Solbright                                                      || 90 x 52mm
Aventis Firestrike, Magister of Hammerhal                              || 100mm
Averon Stormsire                                                       || 40mm
Castigators                                                            || 40mm
Celestant-Prime, Hammer of Sigmar                                      || 100mm
Celestar Ballista                                                      || 60mm [1], 40mm [2]
Celestian Vortex                                                       || 65mm
Dais Arcanum                                                           || 50mm
Decimators                                                             || 40mm
Domitan's Stormcoven                                                   || 40mm [3]
Dracothian Guard Concussors                                            || 90 x 52mm
Dracothian Guard Desolators                                            || 90 x 52mm
Dracothian Guard Fulminators                                           || 90 x 52mm
Dracothian Guard Tempestors                                            || 90 x 52mm
Drakesworn Templar                                                     || 170 x 105mm
Everblaze Comet                                                        || 65mm
Evocators                                                              || 40mm
Evocators on Celestial Dracolines                                      || 90 x 52mm
Gardus Steel Soul                                                      || 50mm
Gavriel Sureheart                                                      || 40mm
Gryph-hounds                                                           || 40mm
Ionus Cryptborn, Warden of Lost Souls                                  || 100mm
Judicators with Boltstorm Crossbows                                    || 40mm
Judicators with Skybolt Bows                                           || 40mm
Karazai the Scarred                                                    || 160mm
Knight-Arcanum                                                         || 40mm
Knight-Azyros                                                          || 50mm
Knight-Draconis                                                        || 105 x 70mm
Knight-Heraldor                                                        || 40mm
Knight-Incantor                                                        || 40mm
Knight-Judicator with Gryph-hounds                                     || 90 x 52mm [1], 40mm [2]
Knight-Questor                                                         || 40mm
Knight-Relictor                                                        || 40mm
Knight-Venator                                                         || 50mm
Knight-Vexillor                                                        || 40mm
Knight-Vexillor with Banner of Apotheosis                              || 40mm
Knight-Zephyros                                                        || 40mm
Krondys, Son of Dracothion                                             || 160mm
Liberators                                                             || 40mm
Lorai, Child of the Abyss                                              || 40mm
Lord-Aquilor                                                           || 90 x 52mm
Lord-Arcanum                                                           || 40mm
Lord-Arcanum on Celestial Dracoline                                    || 90 x 52mm
Lord-Arcanum on Gryph-charger                                          || 90 x 52mm
Lord-Arcanum on Tauralon                                               || 100mm
Lord-Castellant                                                        || 40mm
Lord-Celestant                                                         || 40mm
Lord-Celestant on Dracoth                                              || 90 x 52mm
Lord-Celestant on Stardrake                                            || 170 x 105mm
Lord-Commander Bastian Carthalos                                       || 50mm
Lord-Exorcist                                                          || 40mm
Lord-Imperatant                                                        || 40mm [1], 32mm [1]
Lord-Ordinator                                                         || 40mm
Lord-Relictor                                                          || 40mm
Lord-Veritant                                                          || 40mm
Neave Blacktalon                                                       || 40mm
Neave's Companions                                                     || 40mm
Praetors                                                               || 40mm
Prosecutors with Celestial Hammers                                     || 40mm
Prosecutors with Stormcall Javelins                                    || 40mm
Protectors                                                             || 40mm
Questor Soulsworn                                                      || 40mm
Retributors                                                            || 40mm
Sequitors                                                              || 40mm
Steelheart's Champions                                                 || 40mm
Stormdrake Guard                                                       || 105 x 70mm
Stormsire's Cursebreakers                                              || 40mm
Stormstrike Chariot                                                    || 120 x 92mm
The Farstriders                                                        || 40mm
Vandus Hammerhand                                                      || 90 x 52mm
Vanguard-Hunters                                                       || 40mm
Vanguard-Palladors                                                     || 75 x 42mm
Vanguard-Raptors with Hurricane Crossbows                              || 40mm
Vanguard-Raptors with Longstrike Crossbows                             || 60 x 35mm [2], 40mm [1]
Vanquishers                                                            || 40mm
Vigilors                                                               || 40mm
Vindictors                                                             || 40mm
Xandire's Truthseekers                                                 || 40mm [3], 25mm [1]
Yndrasta, the Celestial Spear                                          || 60mm
