Alarielle the Everqueen                                                || 160mm
Arch-Revenant                                                          || 40mm
Awakened Wyldwood                                                      || Use model
Belthanos, First Thorn of Kurnoth                                      || 150 x 95mm
Branchwych                                                             || 32mm
Dryads                                                                 || 32mm
Drycha Hamadreth                                                       || 105 x 70mm
Gladewyrm                                                              || Use model
Gossamid Archers                                                       || 32mm
Kurnoth Hunters with Kurnoth Greatbows                                 || 50mm
Kurnoth Hunters with Kurnoth Greatswords                               || 50mm
Kurnoth Hunters with Kurnoth Scythes                                   || 50mm
Revenant Seekers                                                       || 60mm
Skaeth's Wild Hunt                                                     || 50 x 25mm [1], 32mm [3], 25mm [1]
Spirit of Durthu                                                       || 105 x 70mm
Spite-Revenants                                                        || 32mm
Spiterider Lancers                                                     || 60mm
Spiteswarm Hive                                                        || 50mm
The Lady of Vines                                                      || 80mm
Tree-Revenants                                                         || 32mm
Treelord                                                               || 105 x 70mm
Treelord Ancient                                                       || 105 x 70mm
Vengeful Skullroot                                                     || 105 x 70mm
Warsong Revenant                                                       || 105 x 70mm
Ylthari                                                                || 32mm
Ylthari's Guardians                                                    || 32mm
