Anointed                                                               || 25mm
Anointed on Flamespyre Phoenix                                         || 120 x 92mm
Anointed on Frostheart Phoenix                                         || 120 x 92mm
Demigryph Knights                                                      || 75 x 42mm
Eternal Guard                                                          || 25mm
Flamespyre Phoenix                                                     || 120 x 92mm
Freeguild Crossbowmen                                                  || 25mm
Freeguild General                                                      || 25mm
Freeguild General on Griffon                                           || 120 x 92mm
Freeguild Greatswords                                                  || 25mm
Freeguild Guard                                                        || 25mm
Freeguild Handgunners                                                  || 25mm
Freeguild Outriders                                                    || 60 x 35mm
Freeguild Pistoliers                                                   || 60 x 35mm
Frostheart Phoenix                                                     || 120 x 92mm
Helblaster Volley Gun                                                  || 90 x 52mm
Helstorm Rocket Battery                                                || 90 x 52mm
Mistweaver Saih                                                        || 32mm
Nomad Prince                                                           || 32mm
Phoenix Guard                                                          || 25mm
Shadow Warriors                                                        || 25mm
Sisters of the Thorn                                                   || 60 x 35mm
Sisters of the Watch                                                   || 25mm
Tenebrael Shard                                                        || 32mm
Wild Riders                                                            || 60 x 35mm
Wildwood Rangers                                                       || 25mm
