Bull Centaur Renders                                                   || 90 x 52mm
Bull Centaur Taur’ruk                                                  || 90 x 52mm
Daemonsmith                                                            || 25mm
Deathshrieker Rocket Launcher                                          || 120 x 92mm
Drazhoath the Ashen                                                    || 120 x 92mm
Dreadquake Mortar                                                      || 170mm
Infernal Guard Battle Standard Bearer                                  || 25mm
Infernal Guard Castellan                                               || 25mm
Infernal Guard Fireglaives                                             || 25mm
Infernal Guard Ironsworn                                               || 25mm
Iron Daemon War Engine                                                 || 120 x 92mm
K’Daai Fireborn                                                        || 50mm
Magma Cannon                                                           || 120 x 92mm
Shar’tor the Executioner                                               || 105 x 70mm
Skullcracker War Engine                                                || 120 x 92mm
