Astromancer of the Celestial Court On Cathayan Horse  || 30 x 60mm 
Astromancer of the Celestial Court On Foot            || 25 x 25mm
Crowman Familiar                                      || 25 x 25mm
Peasant Levy                                          || 25 x 25mm
Iron Hail Gunners                                     || 25 x 25mm
Crane Gunner Teams                                    || 25 x 50mm   
Jade Warriors                                         || 25 x 25mm
Gate Master of the Celestial Cities On Foot           || 25 x 25mm  
Fire Rain Rocket Battery                              || 60 x 100mm
Gate Master of the Celestial Cities On Cathayan Horse || 30 x 60mm
Shugengan Lord on Great Spirit Longma                 || 60 x 100mm  
Cathayan Sentinel                                     || 100 x 150mm
Jade Lancers                                          || 30 x 60mm
Miao Ying (Dragon)                                    || 100 x 150mm
Miao Ying (Human)                                     || 50 x 50mm
Sky Lantern                                           || 100 x 100mm
Magistrate                                            || 25 x 25mm
Fire Rain Rocket Battery Crew                         || 25 x 25mm
Fire Rain Rocket Battery Ogre Loader                  || 40 x 40mm
Grand Cannon                                          || 60 x 100mm
Grand Cannon Crew                                     || 25 x 25mm
Grand Cannon Ogre Loader                              || 40 x 40mm
