Aethervoid Pendulum         ||  64 x 42mm oval          ||  FAQ says 'Use model'
Balewind Vortex             ||  90 - 108mm across       ||  FAQ says 'Use model'
The Burning Head            ||  50mm                    ||  FAQ says 'Use model'
Chronomantic Cogs           ||  40mm                    ||  FAQ says 'Use model'
Emerald Lifeswarm           ||  64 x 42mm oval          ||  FAQ says 'Use model'
Geminids of Uhl-Gysh        ||  40mm                    ||  FAQ says 'Use model'
Malevolent Maelstrom        ||  50mm                    ||  FAQ says 'Use model'
Prismatic Palisade          ||  Irregular 175 x 32mm    ||  FAQ says 'Use model'
Purple Sun of Shyish        ||  105 x 70mm              ||  FAQ says 'Use model'
Quicksilver Swords          ||  40mm                    ||  FAQ says 'Use model'
Ravenak’s Gnashing Jaws     ||  105 x 70mm              ||  FAQ says 'Use model'
Soulsnare Shackles          ||  40mm                    ||  FAQ says 'Use model'
Suffocating Gravetide       ||  Irregular 170 x 85mm    ||  FAQ says 'Use model'
Umbral Spellportal          ||  40mm                    ||  FAQ says 'Use model'
