Alchemite Warforger                                                    || 32mm
Anointed                                                               || 25mm
Anointed on Flamespyre Phoenix                                         || 120 x 92mm
Anointed on Frostheart Phoenix                                         || 120 x 92mm
Assassin                                                               || 25mm
Battlemage                                                             || 25mm
Battlemage on Griffon                                                  || 120 x 92mm
Black Ark Corsairs                                                     || 25mm
Black Ark Fleetmaster                                                  || 25mm
Black Guard                                                            || 25mm
Bleakswords                                                            || 25mm
Celestial Hurricanum                                                   || 120 x 92mm
Celestial Hurricanum with Celestial Battlemage                         || 120 x 92mm
Cogsmith                                                               || 25mm
Dark Riders                                                            || 60 x 35mm
Darkshards                                                             || 25mm
Demigryph Knights                                                      || 75 x 42mm
Doralia ven Denst                                                      || 28.5mm
Drakespawn Chariots                                                    || 120 x 92mm
Drakespawn Knights                                                     || 60 x 35mm
Dreadlord on Black Dragon                                              || 105 x 70mm
Dreadspears                                                            || 25mm
Eternal Guard                                                          || 25mm
Executioners                                                           || 25mm
Flagellants                                                            || 25mm
Flamespyre Phoenix                                                     || 120 x 92mm
Freeguild Cavalier-Marshal                                             || 75mm
Freeguild Cavaliers                                                    || 60 x 35mm
Freeguild Command Corps                                                || 28mm [4], 25mm [1], 40mm [1]
Freeguild Crossbowmen                                                  || 25mm
Freeguild Fusiliers                                                    || 28mm
Freeguild General                                                      || 25mm
Freeguild General on Griffon                                           || 120 x 92mm
Freeguild Greatswords                                                  || 25mm
Freeguild Guard                                                        || 25mm
Freeguild Handgunners                                                  || 25mm
Freeguild Marshal and Relic Envoy                                      || 32mm [1], 28.5mm [1]
Freeguild Marshal on Griffon                                           || 120 x 92mm
Freeguild Outriders                                                    || 60 x 35mm
Freeguild Pistoliers                                                   || 60 x 35mm
Freeguild Steelhelms                                                   || 25mm
Frostheart Phoenix                                                     || 120 x 92mm
Fusil-Major on Ogor Warhulk                                            || 60mm
Galen ven Denst                                                        || 28.5mm
Gyrobombers                                                            || 50mm
Gyrocopters                                                            || 50mm
Hammerers                                                              || 25mm
Haskel Hexbane                                                         || 28.5mm
Helblaster Volley Gun                                                  || 90 x 52mm
Helstorm Rocket Battery                                                || 90 x 52mm
Hexbane's Hunters                                                      || 25mm [2], 28.5mm [2], 32mm [1]
Ironbreakers                                                           || 25mm
Irondrakes                                                             || 25mm
Ironweld Great Cannon                                                  || 90mm
Kharibdyss                                                             || 120 x 92mm
Longbeards                                                             || 25mm
Luminark of Hysh                                                       || 120 x 92mm
Luminark of Hysh with White Battlemage                                 || 120 x 92mm
Mistweaver Saih                                                        || 32mm (No longer in pdf)
Nomad Prince                                                           || 32mm
Phoenix Guard                                                          || 25mm
Pontifex Zenestra                                                      || 90mm
Runelord                                                               || 25mm
Scourgerunner Chariots                                                 || 120 x 92mm
Shadow Warriors                                                        || 25mm
Sisters of the Thorn                                                   || 60 x 35mm
Sisters of the Watch                                                   || 25mm
Sorceress                                                              || 25mm
Sorceress on Black Dragon                                              || 105 x 70mm
Steam Tank                                                             || 120 x 92mm
Steam Tank with Commander                                              || 120 x 92mm
Tahlia Vedra                                                           || 100mm
Tenebrael Shard                                                        || 32mm (No longer in pdf)
War Hydra                                                              || 120 x 92mm
Warden King                                                            || 25mm
Wild Riders                                                            || 60 x 35mm
Wildercorps Hunters                                                    || 40mm [2], 28.5mm [3], 25mm [6]
Wildwood Rangers                                                       || 25mm
