Brutogg Corpse-Eater                                                   || 40mm
Captain Emelda Braskow                                                 || 32mm
Cleona Zeitengale                                                      || 32mm
Dagnai Holdenstock                                                     || 32mm
Glaurio Ven Alten III                                                  || 32mm
Gorslav the Gravekeeper                                                || 40mm
Jelsen Darrock                                                         || 32mm
Korsargi Nightguard                                                    || 40mm
Octren Glimscry                                                        || 32mm
Qulathis the Exile                                                     || 32mm
Radukar the Wolf                                                       || 40mm
Torgillius the Chamberlain                                             || 40mm
Vargskyr                                                               || 50mm
Vyrkos Blood-Born                                                      || 32mm
Watch Captain Halgrim                                                  || 32mm
