Avatar of Khaine                                                       || 40mm
Bladewind                                                              || 50mm
Blood Sisters                                                          || 40mm
Blood Stalkers                                                         || 40mm
Bloodwrack Medusa                                                      || 40mm
Bloodwrack Shrine                                                      || 120 x 92mm
Bloodwrack Viper                                                       || 100mm
Doomfire Warlocks                                                      || 60 x 35mm
Gryselle's Arenai                                                      || 32mm [1], 28.5mm [4]
Hag Queen                                                              || 25mm
Hag Queen on Cauldron of Blood                                         || 120 x 92mm
Heart of Fury                                                          || 50mm
High Gladiatrix                                                        || 32mm
Khainite Shadowstalkers                                                || 28.5mm
Khinerai Heartrenders                                                  || 40mm
Khinerai Lifetakers                                                    || 40mm
Melusai Ironscale                                                      || 40mm
Morathi-Khaine                                                         || 40mm
Morgwaeth the Bloodied                                                 || 32mm
Sisters of Slaughter                                                   || 25mm
Slaughter Queen                                                        || 25mm
Slaughter Queen on Cauldron of Blood                                   || 120 x 92mm
Slythael Shadestalker                                                  || 40mm
The Blade-coven                                                        || 32mm [3], 40mm [1]
The Shadeborn                                                          || 28.5mm
The Shadow Queen                                                       || 100mm
Witch Aelves                                                           || 25mm
