Akhelian Allopexes (Bloodthirsty Shiver)                               || 90 x 52mm
Namarti Reavers                                                        || 32mm
Namarti Thralls                                                        || 32mm
Akhelian Leviadon                                                      || 120 x 92mm
Akhelian King                                                          || 60mm
Akhelian Thrallmaster                                                  || 32mm
Eidolon of Mathlann, Aspect of the Sea                                 || 100mm
Eidolon of Mathlann, Aspect of the Storm                               || 100mm
Elathain Ill-fated                                                     || 32mm
Elathain's Soulraid                                                    || 32mm [3], 25mm [1]
Isharann Soulrender                                                    || 40mm
Isharann Soulscryer                                                    || 32mm
Isharann Tidecaster                                                    || 32mm
Lotann, Warden of the Soul Ledgers                                     || 40mm
Volturnos, High King of the Deep                                       || 60mm
Akhelian Allopexes                                                     || 90 x 52mm
Akhelian Ishlaen Guard                                                 || 60 x 35mm
Akhelian Morrsarr Guard                                                || 60 x 35mm
Gloomtide Shipwreck                                                    || Use model
