Awlrach the Drowner                                                    || 80mm
Black Coach                                                            || 170 x 105mm
Bladegheist Revenants                                                  || 32mm
Cairn Wraith                                                           || 25mm
Chainghasts                                                            || 32mm
Chainrasps                                                             || 25mm
Craventhrone Guard                                                     || 32mm
Dreadblade Harrow                                                      || 60 x 35mm
Dreadscythe Harridans                                                  || 32mm
Glaivewraith Stalkers                                                  || 32mm
Grimghast Reapers                                                      || 32mm
Guardian of Souls                                                      || 32mm
Hexwraiths                                                             || 60 x 35mm
Knight of Shrouds                                                      || 32mm
Knight of Shrouds on Ethereal Steed                                    || 75 x 42mm
Krulghast Cruciator                                                    || 40mm
Kurdoss Valentian, the Craven King                                     || 60mm
Lady Olynder, Mortarch of Grief                                        || 60mm
Lord Executioner                                                       || 40mm
Mortalis Terminexus                                                    || 50mm
Mourngul                                                               || 60mm (No longer in pdf)
Myrmourn Banshees                                                      || 32mm
Nagash, Supreme Lord of the Undead                                     || 130mm
Reikenor the Grimhailer                                                || 75 x 42mm
Scriptor Mortis                                                        || 40mm
Shyish Reaper                                                          || 105 x 70mm
Spirit Hosts                                                           || 50mm
Spirit Torment                                                         || 40mm
The Briar Queen                                                        || 32mm
The Headsmen's Curse                                                   || 40mm [1], 32mm [2], 25mm [1]
The Wielder of the Blade                                               || 40mm
Thorns of the Briar Queen                                              || 25mm
Tomb Banshee                                                           || 25mm
Vault of Souls                                                         || 50mm
