Blackpowder's Buccaneers                                               || 50mm [1], 25mm [4]
Bloodpelt Hunter                                                       || 40mm
Butcher                                                                || 50mm
Firebelly                                                              || 50mm
Frost Sabres                                                           || 60 x 35mm
Frostlord on Stonehorn                                                 || 120 x 92mm
Frostlord on Thundertusk                                               || 120 x 92mm
Gnoblar Scraplauncher                                                  || 120 x 92mm
Gnoblars                                                               || 25mm
Gorger Mawpack                                                         || 50mm
Great Mawpot                                                           || Use model
Hrothgorn Mantrapper                                                   || 40mm
Hrothgorn's Mantrappers                                                || 50 x 25mm [1], 25mm [3]
Huskard on Stonehorn                                                   || 120 x 92mm
Huskard on Thundertusk                                                 || 120 x 92mm
Icebrow Hunter                                                         || 50mm
Icefall Yhetees                                                        || 50mm
Ironblaster                                                            || 120 x 92mm
Ironguts                                                               || 40mm
Kragnos, the End of Empires                                            || 130mm
Leadbelchers                                                           || 40mm
Maneaters                                                              || 50mm
Mournfang Pack                                                         || 90 x 52mm
Ogor Gluttons                                                          || 40mm
Slaughtermaster                                                        || 105 x 70mm
Stonehorn Beastriders                                                  || 120 x 92mm
Thundertusk Beastriders                                                || 120 x 92mm
Tyrant                                                                 || 50mm
