Ardboy Big Boss                                                        || 40mm
Beast-skewer Killbow                                                   || 90 x 52mm
Breaka-boss on Mirebrute Troggoth                                      || 80mm
Brute Ragerz                                                           || 40mm
Da Kunnin' Krew                                                        || 32mm [1], 25mm [3]
Daggok's Stab-ladz                                                     || 32mm
Gobsprakk, the Mouth of Mork                                           || 130mm
Gordrakk, the Fist of Gork                                             || 160mm
Gutrippaz                                                              || 32mm
Hedkrakka's Madmob                                                     || 40mm [1], 32mm [2]
Hedkrakka, Gob of Gork                                                 || 32mm
Hobgrot Slittaz                                                        || 25mm
Ironskull's Boyz                                                       || 32mm
Killaboss on Corpse-rippa Vulcha                                       || 130mm
Killaboss on Great Gnashtoof                                           || 105 x 70mm
Killaboss with Stab-grot                                               || 40mm [1], 25mm [1]
Kragnos, the End of Empires                                            || 130mm
Kruleboyz Monsta-killaz                                                || 40mm [1], 32mm [6], 28.5mm [1]
Man-skewer Boltboyz                                                    || 32mm
Maniak Weirdnob                                                        || 60 x 35mm
Mannok da Kunnin'                                                      || 40mm
Marshcrawla Sloggoth                                                   || 105 x 70mm
Maw-Grunta Gougers                                                     || 120 x 92mm
Maw-Grunta with Hakkin' Krew                                           || 120 x 92mm
Megaboss on Maw-krusha                                                 || 160mm
Morgok's Krushas                                                       || 40mm
Murknob with Belcha-banna                                              || 40mm
Orruk Ardboys                                                          || 32mm
Orruk Brutes                                                           || 40mm
Orruk Gore-gruntas                                                     || 90 x 52mm
Orruk Megaboss                                                         || 60mm
Orruk Warchanter                                                       || 40mm
Orruk Weirdnob Shaman                                                  || 40mm
Savage Big Boss                                                        || 32mm
Savage Big Stabbas                                                     || 60 x 35mm
Savage Boarboy Maniaks                                                 || 60 x 35mm
Savage Boarboys                                                        || 60 x 35mm
Savage Orruk Arrowboys                                                 || 32mm
Savage Orruk Morboys                                                   || 32mm
Savage Orruks                                                          || 32mm
Snatchaboss on Sludgeraker Beast                                       || 120 x 92mm
Swampboss Skumdrekk                                                    || 120 x 92mm
Swampcalla Shaman and Pot-grot                                         || 40mm [1], 25mm [1]
Tuskboss on Maw-Grunta                                                 || 120 x 92mm
Wardokk                                                                || 32mm
Weirdbrute Wrekkaz                                                     || 40mm
Wurrgog Prophet                                                        || 32mm
Zoggrok Anvilsmasha                                                    || 50mm [1], 25mm [1]
