Aggradon Lancers                                                       || 90 x 52mm
Bastiladon with Ark of Sotek                                           || 120 x 92mm
Bastiladon with Solar Engine                                           || 120 x 92mm
Coalesced Realmshaper Engine                                           || Use model
Dread Saurian                                                          || 280 x 210mm (No longer in pdf)
Engine of the Gods                                                     || 120 x 92mm
Hunters of Huanchi with Dartpipes                                      || 28.5mm [1], 25mm [4]
Hunters of Huanchi with Starstone Bolas                                || 28.5mm [2], 25mm [3]
Kixi-Taka, the Diviner                                                 || 25mm
Klaq-Trok                                                              || 32mm
Kroxigor                                                               || 50mm
Kroxigor Warspawned                                                    || 50mm
Lord Kroak                                                             || 80mm
Raptadon Chargers                                                      || 60 x 35mm
Raptadon Hunters                                                       || 60 x 35mm
Razordons                                                              || 60 x 35mm (No longer in pdf)
Ripperdactyl Chief                                                     || 50mm
Ripperdactyl Riders                                                    || 50mm
Salamanders                                                            || 60 x 35mm (No longer in pdf)
Saurus Astrolith Bearer                                                || 40mm
Saurus Eternity Warden                                                 || 40mm (No longer in pdf)
Saurus Guard                                                           || 32mm
Saurus Knights                                                         || 60 x 35mm (No longer in pdf)
Saurus Oldblood                                                        || 32mm
Saurus Oldblood on Carnosaur                                           || 120 x 92mm
Saurus Scar-Veteran on Aggradon                                        || 90 x 52mm
Saurus Scar-Veteran on Carnosaur                                       || 120 x 92mm
Saurus Scar-Veteran on Cold One                                        || 60 x 35mm (No longer in pdf)
Saurus Sunblood                                                        || 32mm (No longer in pdf)
Saurus Warriors                                                        || 32mm
Skink Handlers                                                         || 25mm (No longer in pdf)
Skink Oracle on Troglodon                                              || 120 x 92mm
Skink Priest                                                           || 25mm (No longer in pdf)
Skink Starpriest                                                       || 25mm
Skink Starseer                                                         || 50mm
Skinks                                                                 || 25mm
Slann Starmaster                                                       || 80mm
Spawn of Chotec                                                        || 90 x 52mm [1], 25mm [3]
Starborne Realmshaper Engine                                           || Use model
Stegadon                                                               || 120 x 92mm
Stegadon Chief                                                         || 120 x 92mm
Terradon Chief                                                         || 50mm
Terradon Riders                                                        || 50mm
Terrawings                                                             || 32mm
The Starblood Stalkers                                                 || 25mm
