# Name                      ||  Expected size   ||  Override size           ||  Override notes

Chronomantic Cogs           ||  Use model       ||  40mm                    ||  FAQ says 'Use model'
Geminids of Uhl-Gysh        ||  Use model       ||  40mm                    ||  FAQ says 'Use model'
Quicksilver Swords          ||  Use model       ||  40mm                    ||  FAQ says 'Use model'
Soulsnare Shackles          ||  Use model       ||  40mm                    ||  FAQ says 'Use model'
Umbral Spellportal          ||  Use model       ||  40mm                    ||  FAQ says 'Use model'
Malevolent Maelstrom        ||  Use model       ||  50mm                    ||  FAQ says 'Use model'
The Burning Head            ||  Use model       ||  50mm                    ||  FAQ says 'Use model'
Purple Sun of Shyish        ||  Use model       ||  100 x 70mm              ||  FAQ says 'Use model'
Ravenak’s Gnashing Jaws     ||  Use model       ||  100 x 70mm              ||  FAQ says 'Use model'
Aethervoid Pendulum         ||  Use model       ||  Custom base             ||  64 x 42mm
Emerald Lifeswarm           ||  Use model       ||  Custom base             ||  64 x 42mm
Prismatic Palisade          ||  Use model       ||  Custom base             ||  Irregular 177 x 32mm
Suffocating Gravetide       ||  Use model       ||  Custom base             ||  Irregular 170 x 85mm
Balewind Vortex             ||  Use model       ||  No base                 ||  Model is about 90 - 108mm across

Wheels of Excruciation      ||  Use model       ||  Custom base             ||  90 x 53mm
Gladewyrm                   ||  Use model       ||  Custom base             ||  
Scuttletide                 ||  Use model       ||  Custom base             ||  
Cadaverous Barricade        ||  Use model       ||  Custom base             ||  
Runic Fyrewall              ||  Use model       ||  Custom base             ||  
Zharrgron Flame-spitter     ||  Use model       ||  Custom base             ||  
Sanctum of Amyntok          ||  Use model       ||  Custom base             ||  

Feculent Gnarlmaw           ||  Use model       ||  No base                 ||  
Sylvaneth Wyldwood          ||  Use model       ||  No base                 ||  
Gloomtide Shipwreck         ||  Use model       ||  No base                 ||  
