Helblaster Volley Gun                                                  || 90 x 52mm 
Helstorm Rocket Battery                                                || 90 x 52mm 
Bleakswords                                                            || 25mm 
Darkshards                                                             || 25mm 
Dreadspears                                                            || 25mm 
Eternal Guard                                                          || 25mm 
Freeguild Crossbowmen                                                  || 25mm 
Freeguild Guard                                                        || 25mm 
Freeguild Handgunners                                                  || 25mm 
Ironbreakers                                                           || 25mm 
Longbeards                                                             || 25mm 
Celestial Hurricanum                                                   || 120 x 92mm 
Flamespyre Phoenix                                                     || 120 x 92mm 
Frostheart Phoenix                                                     || 120 x 92mm 
Kharibdyss                                                             || 120 x 92mm 
Luminark of Hysh                                                       || 120 x 92mm 
Stea m Ta n k                                                          || 120 x 92mm 
Wa r Hyd ra                                                            || 120 x 92mm 
Anointed                                                               || 25mm 
Assassin                                                               || 25mm 
Battlemage                                                             || 25mm 
Black Ark Fleetmaster                                                  || 25mm 
Cogsmith                                                               || 25mm 
Doralia ven Denst                                                      || 28.5mm 
Freeguild General                                                      || 25mm 
Galen ven Denst                                                        || 28.5mm 
Haskel Hexbane                                                         || 28.5mm 
Hexbane’s Hunters                                                      || 25mm [2], 28.5mm [2], 32 m m   [1] 
Nomad Prince                                                           || 32mm 
Runelord                                                               || 25mm 
Sorceress                                                              || 25mm 
Warden King                                                            || 25mm 
Anointed on Flamespyre Phoenix                                         || 120 x 92mm 
Anointed on Frostheart Phoenix                                         || 120 x 92mm 
Battlemage on Griffon                                                  || 120 x 92mm 
Celestial Hurricanum with Celestial Battlemage                         || 120 x 92mm 
Dreadlord on Black Dragon                                              || 105 x 70mm 
Freeguild General on Griffon                                           || 120 x 92mm 
Luminark of Hysh with White Battlemage                                 || 120 x 92mm 
Sorceress on Black Dragon                                              || 105 x 70mm 
Steam Tank with Commander                                              || 120 x 92mm 
Black Ark Corsairs                                                     || 25mm 
Black Guard                                                            || 25mm 
Dark Riders                                                            || 60 x 35mm 
Demigryph Knights                                                      || 75 x 42mm 
Drakespawn Chariots                                                    || 120 x 92mm 
Drakespawn Knights                                                     || 60 x 35mm 
Executioners                                                           || 25mm 
Flagellants                                                            || 25mm 
Freeguild Greatswords                                                  || 25mm 
Freeguild Outriders                                                    || 60 x 35mm 
Freeguild Pistoliers                                                   || 60 x 35mm 
Gyrobombers                                                            || 50mm 
Gyrocopters                                                            || 50mm 
Hammerers                                                              || 25mm 
Irondrakes                                                             || 25mm 
Phoenix Guard                                                          || 25mm 
Scourgerunner Chariots                                                 || 120 x 92mm 
Shadow Warriors                                                        || 25mm 
Sisters of the Thorn                                                   || 60 x 35mm 
Sisters of the Watch                                                   || 25mm 
Wild Riders                                                            || 60 x 35mm 
Wildwood Rangers                                                       || 25mm
