Sisters of Slaughter                                                   || 25mm 
Witch Aelves                                                           || 25mm 
Avatar of Khaine                                                       || 40mm 
Bloodwrack Medusa                                                      || 40mm 
Bloodwrack Shrine                                                      || 120 x 92mm 
Hag Queen                                                              || 25mm 
High Gladiatrix                                                        || 32mm 
Melusai Ironscale                                                      || 40mm 
Morathi-Khaine                                                         || 40mm 
The Shadow Queen                                                       || 100mm 
Morgwaeth the Bloodied                                                 || 32mm 
The Blade-coven                                                        || 32mm [3], 40mm [1] 
Slythael Shadestalker                                                  || 40mm 
The Shadeborn                                                          || 28.5mm 
Slaughter Queen                                                        || 25mm 
Hag Queen on Cauldron of Blood                                         || Single. A Hagg Nar army can include 1 Cauldron of Blood in addition to the other Behemoth units it can include.120 x 92mm 
Slaughter Queen on Cauldron of Blood                                   || Single. A Hagg Nar army can include 1 Cauldron of Blood in addition to the other Behemoth units it can include.120 x 92mm 
Blood Sisters                                                          || 40mm 
Blood Stalkers                                                         || 40mm 
Doomfire Warlocks                                                      || 60 x 35mm 
Gryselle's Arenai                                                      || 32mm [1], 28.5mm [4] 
Khainite Shadowstalkers                                                || 28.5mm 
Khinerai Heartrenders                                                  || 40mm 
Khinerai Lifetakers                                                    || 40mm 
Bladewind                                                              || 50mm 
Bloodwrack Viper                                                       || 100mm 
Heart of Fury                                                          || 50mm
