Jade Obelisk                                                           || 32mm [5], 28.5mm [5] 
Kairic Acolytes                                                        || 32mm 
Tzaa ngors                                                             || 32mm 
The Blue Scribes                                                       || 60mm 
Changecaster, Herald of Tzeentch                                       || 32mm 
The Changeling                                                         || 40mm 
Curseling, Eye of Tzeentch                                             || 32mm 
Ephilim the Unknowable                                                 || 32mm 
Ephilim’s Pandaemonium                                                 || 32mm [2], 25mm [2] 
Fatemaster                                                             || 60mm 
Fateskimmer, Herald of Tzeentch on Burning Chariot                     || 120 x 92mm 
Fluxmaster, Herald of Tzeentch on Disc                                 || 60mm 
Gaunt Summoner                                                         || 40mm 
Gaunt Summoner on Disc of Tzeentch                                     || 40mm 
Magister                                                               || 32mm 
Magister on Disc of Tzeentch                                           || 50mm 
Ogroid Thaumaturge                                                     || 50mm 
Tzaangor Shaman                                                        || 40mm 
Vortemis the All-seeing                                                || 32mm 
The Eyes of the Nine                                                   || 32mm [3], 25mm [2] 
Kairos Fateweaver                                                      || 100mm 
Lord of Change                                                         || 100mm 
Burning Chariots of Tzeentch                                           || 120 x 92mm 
Disciples of Tzeentch Chaos Spawn                                      || 50mm 
Exalted Flamers of Tzeentch                                            || 75 x 42mm 
Flamers of Tzeentch                                                    || 32mm 
Horrors of Tzeentch                                                    || 32mm (Pink), 25mm (Blue/Bri mstone) 
Screamers of Tzeentch                                                  || 32mm 
Tzaangor Enlightened                                                   || 40mm 
Tzaangor Enlightened on Discs of Tzeentch                              || 40mm 
Tzaangor Skyfires                                                      || 40mm 
Burning Sigil of Tzeentch                                              || 50mm 
Daemonic Simulacrum                                                    || 105 x 70mm 
Tome of Eyes                                                           || 50mm
