Aethervoid Pendulum                                                    || Use model 
The Burning Head                                                       || Use model 
Chronomantic Cogs                                                      || Use model 
Emerald Lifeswarm                                                      || Use model 
Geminids of Uhl-Gysh                                                   || Use model 
Horrorghast                                                            || 50mm 
Lauchon the Soulseeker                                                 || 90 x 52mm 
Malevolent Maelstrom                                                   || Use model 
Prismatic Palisade                                                     || Use model 
Purple Sun of Shyish                                                   || Use model 
Quicksilver Swords                                                     || Use model 
Ravenak's Gnashing Jaws                                                || Use model 
Shards of Valagharr                                                    || 105 x 70mm 
Soulscream Bridge                                                      || 120 x 92mm 
Soulsnare Shackles                                                     || Use model 
Suffocating Gravetide                                                  || Use model 
Umbral Spellportal                                                     || Use model
